year,quarter,shares_outstanding
2006,Q4,610193500.0
2007,Q1,605796000.0
2007,Q2,603199250.0
2007,Q3,602312250.0
2007,Q4,594064750.0
2008,Q1,585817250.0
2008,Q2,570557000.0
2008,Q3,556551250.0
2008,Q4,545694000.0
2009,Q1,534836750.0
2009,Q2,531246000.0
2009,Q3,528870500.0
2009,Q4,530074250.0
2010,Q1,531278000.0
2010,Q2,532589500.0
2010,Q3,530432000.0
2010,Q4,525107000.0
2011,Q1,519782000.0
2011,Q2,513037250.0
2011,Q3,506927750.0
2011,Q4,503163500.0
2012,Q1,500421750.0
2012,Q2,499196000.0
2012,Q3,499450000.0
2012,Q4,500916500.0
2013,Q1,502782000.0
2013,Q2,505549250.0
2013,Q3,509124500.0
2013,Q4,511356500.0
2014,Q1,511481500.0
2014,Q2,510041750.0
2014,Q3,508480000.0
2014,Q4,507572250.0
2015,Q1,507368750.0
2015,Q2,507092500.0
2015,Q3,506592000.0
2015,Q4,506232250.0
2016,Q1,505769750.0
2016,Q2,505555500.0
2016,Q3,505020500.0
2016,Q4,503811500.0
2017,Q1,502607750.0
2017,Q2,501514250.0
2017,Q3,500696500.0
2017,Q4,500417500.0
2018,Q1,500060500.0
2018,Q2,499535750.0
2018,Q3,498652750.0
2018,Q4,497417250.0
2019,Q1,496106000.0
2019,Q2,494596000.0
2019,Q3,493140000.0
2019,Q4,491573250.0
2020,Q1,490026250.0
2020,Q2,488223250.0
2020,Q3,486712750.0
2020,Q4,485500000.0
2021,Q1,484250000.0
2021,Q2,483250000.0
2021,Q3,482250000.0
2021,Q4,481250000.0
2022,Q1,479250000.0
2022,Q2,477250000.0
2022,Q3,474250000.0
2022,Q4,470750000.0
2023,Q1,466875000.0
2023,Q2,463375000.0
2023,Q3,460875000.0
2023,Q4,459125000.0
2024,Q1,458250000.0
2024,Q2,456250000.0
2024,Q3,453500000.0
2024,Q4,449500000.0
2025,Q1,445000000.0
2025,Q2,440500000.0
2025,Q3,436000000.0
2025,Q4,429500000.0
2026,Q1,422750000.0
