year,quarter,eps_diluted
2006,Q4,0.8298723362509577
2007,Q1,0.8989683189629987
2007,Q2,0.951156257471059
2007,Q3,1.1376589103773005
2007,Q4,1.223379253123442
2008,Q1,1.369340698918736
2008,Q2,1.5128430626927247
2008,Q3,1.5232149423294659
2008,Q4,1.600137412916748
2009,Q1,1.5124840353261022
2009,Q2,1.355010955845536
2009,Q3,1.2568562151229763
2009,Q4,0.7307960481269059
2010,Q1,0.6731440660311194
2010,Q2,0.7130635780279206
2010,Q3,0.8969923825184065
2010,Q4,1.482920921798046
2011,Q1,1.7029715244503996
2011,Q2,1.877467116268532
2011,Q3,1.8289097929111613
2011,Q4,1.6531761926493829
2012,Q1,1.564541915148164
2012,Q2,1.5578841343298522
2012,Q3,1.5696069396111578
2012,Q4,1.6623288633249054
2013,Q1,1.4204141439922924
2013,Q2,1.1232656540220738
2013,Q3,0.8818201104210781
2013,Q4,0.5668687939106016
2014,Q1,0.5311936321525197
2014,Q2,0.5565371748983029
2014,Q3,0.4830702104139625
2014,Q4,0.5289466954966844
2015,Q1,0.6036568272173867
2015,Q2,0.7206686327209793
2015,Q3,0.9775940148450238
2015,Q4,1.244028271220711
2016,Q1,1.5796748672395318
2016,Q2,1.7715239174539834
2016,Q3,1.964232093960312
2016,Q4,2.3214647043589585
2017,Q1,2.6140817930958256
2017,Q2,2.878758332137779
2017,Q3,3.1795980448434293
2017,Q4,3.3852250562111603
2018,Q1,3.7571788629768346
2018,Q2,4.339911268803924
2018,Q3,4.842427999832911
2018,Q4,5.2093056239753155
2019,Q1,5.406170807242184
2019,Q2,5.360388019076314
2019,Q3,5.633851205696621
2019,Q4,6.00657394321213
2020,Q1,6.599200055369354
2020,Q2,7.582036949638615
2020,Q3,7.936658619517401
2020,Q4,10.842840945755121
2021,Q1,11.496639778189023
2021,Q2,11.54876486124194
2021,Q3,12.099443216044007
2021,Q4,10.019432885465495
2022,Q1,10.073929997811575
2022,Q2,10.244249935573375
2022,Q3,10.146674255908142
2022,Q4,10.101529406122735
2023,Q1,10.150085617107216
2023,Q2,10.480950121706329
2023,Q3,11.115420161795335
2023,Q4,11.822751830752855
2024,Q1,10.468581584680656
2024,Q2,11.135035700202204
2024,Q3,11.837319391456484
2024,Q4,12.405479637747124
2025,Q1,15.180533711287138
2025,Q2,15.59804061152935
2025,Q3,15.960042272658919
2025,Q4,16.611784535733335
2026,Q1,17.073188395347373
