year,quarter,free_cash_flow
2006,Q4,843989000.0
2007,Q1,900040000.0
2007,Q2,1000372000.0
2007,Q3,1232043000.0
2007,Q4,1307228000.0
2008,Q1,1458042000.0
2008,Q2,1445515000.0
2008,Q3,1224466000.0
2008,Q4,1168890000.0
2009,Q1,1145685000.0
2009,Q2,1087514000.0
2009,Q3,1093803000.0
2009,Q4,998180000.0
2010,Q1,882609000.0
2010,Q2,832854000.0
2010,Q3,907035000.0
2010,Q4,943353000.0
2011,Q1,1008778000.0
2011,Q2,1159146000.0
2011,Q3,1166368000.0
2011,Q4,1333020000.0
2012,Q1,1296614000.0
2012,Q2,1332235000.0
2012,Q3,1258490000.0
2012,Q4,1228504000.0
2013,Q1,1227070000.0
2013,Q2,1092518000.0
2013,Q3,1075337000.0
2013,Q4,963328000.0
2014,Q1,923767000.0
2014,Q2,1011206000.0
2014,Q3,1056033000.0
2014,Q4,1139329000.0
2015,Q1,1064518000.0
2015,Q2,1159934000.0
2015,Q3,1257884000.0
2015,Q4,1284566000.0
2016,Q1,1588424000.0
2016,Q2,1587626000.0
2016,Q3,1738794000.0
2016,Q4,1995923000.0
2017,Q1,2244063000.0
2017,Q2,2398637000.0
2017,Q3,2586163000.0
2017,Q4,2734731000.0
2018,Q1,2929723000.0
2018,Q2,3271283000.0
2018,Q3,3512831000.0
2018,Q4,3762725000.0
2019,Q1,3816446000.0
2019,Q2,3909190000.0
2019,Q3,3850459000.0
2019,Q4,4087333000.0
2020,Q1,4370153000.0
2020,Q2,4434319000.0
2020,Q3,4911304000.0
2020,Q4,5308000000.0
2021,Q1,5790000000.0
2021,Q2,6595000000.0
2021,Q3,6605000000.0
2021,Q4,6893000000.0
2022,Q1,6849000000.0
2022,Q2,6870000000.0
2022,Q3,7129000000.0
2022,Q4,7396000000.0
2023,Q1,7319000000.0
2023,Q2,7423000000.0
2023,Q3,7626000000.0
2023,Q4,6942000000.0
2024,Q1,6449000000.0
2024,Q2,6319000000.0
2024,Q3,6501000000.0
2024,Q4,7824000000.0
2025,Q1,9181000000.0
2025,Q2,9437000000.0
2025,Q3,9599000000.0
2025,Q4,9852000000.0
2026,Q1,10317000000.0
