year,quarter,revenue
2006,Q4,2575300000.0
2007,Q1,2569229000.0
2007,Q2,2679350000.0
2007,Q3,2928845000.0
2007,Q4,3157881000.0
2008,Q1,3398919000.0
2008,Q2,3540228000.0
2008,Q3,3575799000.0
2008,Q4,3579889000.0
2009,Q1,3475834000.0
2009,Q2,3293621000.0
2009,Q3,3103871000.0
2009,Q4,2945853000.0
2010,Q1,3018163000.0
2010,Q2,3256525000.0
2010,Q3,3549337000.0
2010,Q4,3800000000.0
2011,Q1,3969006000.0
2011,Q2,4049150000.0
2011,Q3,4072043000.0
2011,Q4,4216258000.0
2012,Q1,4233772000.0
2012,Q2,4335042000.0
2012,Q3,4402410000.0
2012,Q4,4403677000.0
2013,Q1,4366330000.0
2013,Q2,4252430000.0
2013,Q3,4166969000.0
2013,Q4,4055240000.0
2014,Q1,4047487000.0
2014,Q2,4105146000.0
2014,Q3,4115436000.0
2014,Q4,4147065000.0
2015,Q1,4256126000.0
2015,Q2,4350076000.0
2015,Q3,4562435000.0
2015,Q4,4795511000.0
2016,Q1,5069665000.0
2016,Q2,5306216000.0
2016,Q3,5552415000.0
2016,Q4,5854430000.0
2017,Q1,6152741000.0
2017,Q2,6526222000.0
2017,Q3,6903329000.0
2017,Q4,7301505000.0
2018,Q1,7698806000.0
2018,Q2,8121976000.0
2018,Q3,8571978000.0
2018,Q4,9030008000.0
2019,Q1,9552007000.0
2019,Q2,10100927000.0
2019,Q3,10643977000.0
2019,Q4,11171296000.0
2020,Q1,11661350000.0
2020,Q2,12045070000.0
2020,Q3,12435944000.0
2020,Q4,12868000000.0
2021,Q1,13682000000.0
2021,Q2,14389000000.0
2021,Q3,15099000000.0
2021,Q4,15785000000.0
2022,Q1,16142000000.0
2022,Q2,16693000000.0
2022,Q3,17191000000.0
2022,Q4,17606000000.0
2023,Q1,17999000000.0
2023,Q2,18429000000.0
2023,Q3,18886000000.0
2023,Q4,19409000000.0
2024,Q1,19936000000.0
2024,Q2,20429000000.0
2024,Q3,20947000000.0
2024,Q4,21505000000.0
2025,Q1,22037000000.0
2025,Q2,22601000000.0
2025,Q3,23181000000.0
2025,Q4,23769000000.0
2026,Q1,24453000000.0
