year,quarter,shares_outstanding
2006,Q3,8510000000.0
2006,Q4,8485000000.0
2007,Q1,8455000000.0
2007,Q2,8440000000.0
2007,Q3,8445000000.0
2007,Q4,8475000000.0
2008,Q1,8505000000.0
2008,Q2,8540000000.0
2008,Q3,8595000000.0
2008,Q4,8635000000.0
2009,Q1,8690000000.0
2009,Q2,8740000000.0
2009,Q3,8765000000.0
2009,Q4,8840000000.0
2010,Q1,8925000000.0
2010,Q2,9000000000.0
2010,Q3,9075000000.0
2010,Q4,9115000000.0
2011,Q1,9140000000.0
2011,Q2,9165000000.0
2011,Q3,9190000000.0
2011,Q4,9210000000.0
2012,Q1,9215000000.0
2012,Q2,9205000000.0
2012,Q3,9200000000.0
2012,Q4,9195000000.0
2013,Q1,9210000000.0
2013,Q2,9200000000.0
2013,Q3,9185000000.0
2013,Q4,9215000000.0
2014,Q1,9240000000.0
2014,Q2,9265000000.0
2014,Q3,9295000000.0
2014,Q4,9320000000.0
2015,Q1,9305000000.0
2015,Q2,9380000000.0
2015,Q3,9455000000.0
2015,Q4,9500000000.0
2016,Q1,9580000000.0
2016,Q2,9615000000.0
2016,Q3,9650000000.0
2016,Q4,9675000000.0
2017,Q1,9720000000.0
2017,Q2,9765000000.0
2017,Q3,9810000000.0
2017,Q4,9860000000.0
2018,Q1,9900000000.0
2018,Q2,9940000000.0
2018,Q3,9975000000.0
2018,Q4,10000000000.0
2019,Q1,10020000000.0
2019,Q2,10035000000.0
2019,Q3,10050000000.0
2019,Q4,10070000000.0
2020,Q1,10090000000.0
2020,Q2,10120000000.0
2020,Q3,10160000000.0
2020,Q4,10200000000.0
2021,Q1,10235000000.0
2021,Q2,10260000000.0
2021,Q3,10275000000.0
2021,Q4,10290000000.0
2022,Q1,10270000000.0
2022,Q2,10245750000.0
2022,Q3,10220250000.0
2022,Q4,10200750000.0
2023,Q1,10220250000.0
2023,Q2,10286750000.0
2023,Q3,10376750000.0
2023,Q4,10468750000.0
2024,Q1,10571750000.0
2024,Q2,10636500000.0
2024,Q3,10680750000.0
2024,Q4,10708500000.0
2025,Q1,10739250000.0
2025,Q2,10763750000.0
2025,Q3,10791250000.0
2025,Q4,10826750000.0
