year,quarter,eps_diluted
2006,Q3,0.031113805474355567
2006,Q4,0.022328831178859712
2007,Q1,0.02955720140018768
2007,Q2,0.0361948999318029
2007,Q3,0.0433660985999494
2007,Q4,0.05608478445441657
2008,Q1,0.059654536298816306
2008,Q2,0.06880677116604375
2008,Q3,0.07292711655190451
2008,Q4,0.07455030963920162
2009,Q1,0.07801798832765576
2009,Q2,0.07578225894076358
2009,Q3,0.08481250712566446
2009,Q4,0.10161710482681388
2010,Q1,0.11429490399817649
2010,Q2,0.1209057931090656
2010,Q3,0.12367238220084266
2010,Q4,0.12642056269574806
2011,Q1,0.11538647211384717
2011,Q2,0.1134000889318118
2011,Q3,0.0949041133638246
2011,Q4,0.0686451103580967
2012,Q1,0.060880120304104085
2012,Q2,0.040883442878624686
2012,Q3,0.004267862382538668
2012,Q4,-0.004258914528186181
2013,Q1,-0.009534057734121009
2013,Q2,-0.011065793733508125
2013,Q3,0.01423103815689241
2013,Q4,0.02929790238928916
2014,Q1,0.031981072351076834
2014,Q2,0.01908267260985828
2014,Q3,-0.02362377520692032
2014,Q4,-0.02665021515901265
2015,Q1,-0.04431770895553871
2015,Q2,-0.020987899808452542
2015,Q3,0.03446792313993753
2015,Q4,0.061902381718463906
2016,Q1,0.12135781730293176
2016,Q2,0.20041030786437372
2016,Q3,0.21812609098131286
2016,Q4,0.24507975404608706
2017,Q1,0.26563090174009185
2017,Q2,0.19693487083568345
2017,Q3,0.19686642056647355
2017,Q4,0.30690558159129766
2018,Q1,0.39658224743835935
2018,Q2,0.6299619222351074
2018,Q3,0.8917755419592219
2018,Q4,1.006774576148907
2019,Q1,1.1979016341818356
2019,Q2,1.2054360278200065
2019,Q3,1.129417826128152
2019,Q4,1.1508863741805622
2020,Q1,1.0466991704264088
2020,Q2,1.3007942463363713
2020,Q3,1.7073496158800223
2020,Q4,2.0876838949219616
2021,Q1,2.6273457691948194
2021,Q2,2.868931085638904
2021,Q3,2.5570771338791953
2021,Q4,3.2410660953008374
2022,Q1,2.073307006463266
2022,Q2,1.1175367653006663
2022,Q3,1.092752846123672
2022,Q4,-0.2679916146693236
2023,Q1,0.41883359932820424
2023,Q2,1.26398388653993
2023,Q3,1.9180486161087131
2023,Q4,2.892224989898808
2024,Q1,3.560603669085446
2024,Q2,4.173947649147203
2024,Q3,4.666111889650544
2024,Q4,5.5306631007690505
2025,Q1,6.13992420590931
2025,Q2,6.561503402319998
2025,Q3,7.087269763779897
2025,Q4,7.172241351519554
