year,quarter,free_cash_flow
2006,Q3,366000000.0
2006,Q4,485000000.0
2007,Q1,521000000.0
2007,Q2,701000000.0
2007,Q3,801000000.0
2007,Q4,1182000000.0
2008,Q1,789000000.0
2008,Q2,815000000.0
2008,Q3,969000000.0
2008,Q4,1363000000.0
2009,Q1,1429000000.0
2009,Q2,1541000000.0
2009,Q3,1915000000.0
2009,Q4,2920000000.0
2010,Q1,2322000000.0
2010,Q2,1986000000.0
2010,Q3,1830000000.0
2010,Q4,2516000000.0
2011,Q1,1870000000.0
2011,Q2,1806000000.0
2011,Q3,1534000000.0
2011,Q4,2093000000.0
2012,Q1,1153000000.0
2012,Q2,1100000000.0
2012,Q3,1059000000.0
2012,Q4,395000000.0
2013,Q1,177000000.0
2013,Q2,265000000.0
2013,Q3,388000000.0
2013,Q4,2032000000.0
2014,Q1,1492000000.0
2014,Q2,1039000000.0
2014,Q3,1077000000.0
2014,Q4,1948000000.0
2015,Q1,3160000000.0
2015,Q2,4372000000.0
2015,Q3,5399000000.0
2015,Q4,7332000000.0
2016,Q1,6570000000.0
2016,Q2,7653000000.0
2016,Q3,9056000000.0
2016,Q4,10199000000.0
2017,Q1,9564000000.0
2017,Q2,8434000000.0
2017,Q3,6319000000.0
2017,Q4,5084000000.0
2018,Q1,3962000000.0
2018,Q2,7431000000.0
2018,Q3,11964000000.0
2018,Q4,17296000000.0
2019,Q1,20741000000.0
2019,Q2,22091000000.0
2019,Q3,20050000000.0
2019,Q4,21654000000.0
2020,Q1,19367000000.0
2020,Q2,26958000000.0
2020,Q3,24664000000.0
2020,Q4,25925000000.0
2021,Q1,21787000000.0
2021,Q2,7067000000.0
2021,Q3,-2269000000.0
2021,Q4,-14726000000.0
2022,Q1,-24598000000.0
2022,Q2,-29784000000.0
2022,Q3,-26323000000.0
2022,Q4,-16893000000.0
2023,Q1,-8571000000.0
2023,Q2,3209000000.0
2023,Q3,16921000000.0
2023,Q4,32217000000.0
2024,Q1,45700000000.0
2024,Q2,48340000000.0
2024,Q3,42953000000.0
2024,Q4,32878000000.0
2025,Q1,20810000000.0
2025,Q2,13481000000.0
2025,Q3,10560000000.0
2025,Q4,7695000000.0
