year,quarter,operating_margin
2006,Q3,0.036899608328179755
2006,Q4,0.03641116609093455
2007,Q1,0.03747706822748318
2007,Q2,0.040839757257667704
2007,Q3,0.044185869647881966
2007,Q4,0.044152342433434445
2008,Q1,0.044374804136634284
2008,Q2,0.0472215736633201
2008,Q3,0.04632182640344105
2008,Q4,0.04393196285088177
2009,Q1,0.04457831325301205
2009,Q2,0.0404720109225668
2009,Q3,0.04273267874429539
2009,Q4,0.04610551226080215
2010,Q1,0.047848678554072745
2010,Q2,0.0485243842880067
2010,Q3,0.04574844851674952
2010,Q4,0.04110630335633259
2011,Q1,0.03612239371784457
2011,Q2,0.031407503041438044
2011,Q3,0.02468286192737366
2011,Q4,0.0179295713126859
2012,Q1,0.01423985993580391
2012,Q2,0.011743916356808895
2012,Q3,0.009274137208327511
2012,Q4,0.011065097474342396
2013,Q1,0.010394198005564412
2013,Q2,0.00952908089995213
2013,Q3,0.009125388541934011
2013,Q4,0.010006312707345574
2014,Q1,0.009088116327888997
2014,Q2,0.007534246575342466
2014,Q3,0.0011378699543678956
2014,Q4,0.0019890098776253243
2015,Q1,0.003109878758223237
2015,Q2,0.007984552760672163
2015,Q3,0.017049577985664435
2015,Q4,0.02087713887876494
2016,Q1,0.026891675042762173
2016,Q2,0.032087999535797475
2016,Q3,0.0315642261686186
2016,Q4,0.030782354195621642
2017,Q1,0.02889747708191593
2017,Q2,0.023067597452772374
2017,Q3,0.020073966516499744
2017,Q4,0.023090416380870993
2018,Q1,0.026030829114775823
2018,Q2,0.035478678678678675
2018,Q3,0.04870178360495481
2018,Q4,0.05333058521944119
2019,Q1,0.06174004843817922
2019,Q2,0.05956447396087486
2019,Q3,0.05390480208537376
2019,Q4,0.05134731446130593
2020,Q1,0.047162583158100804
2020,Q2,0.05199809808534376
2020,Q3,0.057210191265860987
2020,Q4,0.05931399975133657
2021,Q1,0.06626822226994011
2021,Q2,0.06684893683255959
2021,Q3,0.06177764676339895
2021,Q4,0.052954097509269465
2022,Q1,0.04119954452975209
2022,Q2,0.03148371482315364
2022,Q3,0.02582881811900253
2022,Q4,0.02345991988061862
2023,Q1,0.025077300879982167
2023,Q2,0.03257528166736673
2023,Q3,0.047271979033550654
2023,Q4,0.0641144079960333
2024,Q1,0.08021295324508244
2024,Q2,0.09013724198870161
2024,Q3,0.09787656741833944
2024,Q4,0.10767149613062908
2025,Q1,0.11038991993086406
2025,Q2,0.11370996868834304
2025,Q3,0.11022377157074045
2025,Q4,0.11155296795755199
