year,quarter,shares_outstanding
2006,Q3,414265582.5
2006,Q4,405965175.0
2007,Q1,397664767.5
2007,Q2,390009620.0
2007,Q3,382379305.0
2007,Q4,369355910.0
2008,Q1,356332515.0
2008,Q2,343848697.5
2008,Q3,334756345.0
2008,Q4,334208297.5
2009,Q1,333657940.0
2009,Q2,333256577.5
2009,Q3,332911810.0
2009,Q4,334026000.0
2010,Q1,335142500.0
2010,Q2,336374500.0
2010,Q3,337645000.0
2010,Q4,338164750.0
2011,Q1,338684500.0
2011,Q2,337529500.0
2011,Q3,333621750.0
2011,Q4,329463750.0
2012,Q1,348398250.0
2012,Q2,368240000.0
2012,Q3,394007500.0
2012,Q4,427200000.0
2013,Q1,426100000.0
2013,Q2,430525000.0
2013,Q3,435875000.0
2013,Q4,433450000.0
2014,Q1,441675000.0
2014,Q2,444475000.0
2014,Q3,442450000.0
2014,Q4,439850000.0
2015,Q1,437800000.0
2015,Q2,435850000.0
2015,Q3,434175000.0
2015,Q4,433050000.0
2016,Q1,431500000.0
2016,Q2,429675000.0
2016,Q3,428050000.0
2016,Q4,427650000.0
2017,Q1,428450000.0
2017,Q2,429925000.0
2017,Q3,431475000.0
2017,Q4,431750000.0
2018,Q1,430900000.0
2018,Q2,429700000.0
2018,Q3,428175000.0
2018,Q4,426500000.0
2019,Q1,425048809.5
2019,Q2,423598809.5
2019,Q3,422548809.5
2019,Q4,421923809.5
2020,Q1,421075000.0
2020,Q2,420375000.0
2020,Q3,419750000.0
2020,Q4,419075000.0
2021,Q1,418100000.0
2021,Q2,416350000.0
2021,Q3,413700000.0
2021,Q4,410350000.0
2022,Q1,406775000.0
2022,Q2,403425000.0
2022,Q3,400425000.0
2022,Q4,397975000.0
2023,Q1,396300000.0
2023,Q2,395150000.0
2023,Q3,394425000.0
2023,Q4,394075000.0
2024,Q1,393800000.0
2024,Q2,393675000.0
2024,Q3,393650000.0
2024,Q4,393600000.0
2025,Q1,393300000.0
2025,Q2,392025000.0
2025,Q3,390525000.0
2025,Q4,388875000.0
