year,quarter,operating_margin
2006,Q3,0.21631495475590512
2006,Q4,0.24204197305213138
2007,Q1,0.24313080432097314
2007,Q2,0.23590594140344473
2007,Q3,0.22956486540954174
2007,Q4,0.2169142121527614
2008,Q1,0.21652437607681863
2008,Q2,0.20643450716013265
2008,Q3,0.1842292869787282
2008,Q4,0.09725004177796155
2009,Q1,-0.020689547128703585
2009,Q2,-0.1933615536334943
2009,Q3,-0.2406223858949698
2009,Q4,-0.10255904204462722
2010,Q1,0.0554755076671126
2010,Q2,0.18182024907971378
2010,Q3,0.231257005056817
2010,Q4,0.2774437004235639
2011,Q1,0.29963543948283916
2011,Q2,0.31089754990193763
2011,Q3,0.30950050138068397
2011,Q4,0.2904275057577948
2012,Q1,0.2778186794991868
2012,Q2,0.2623823687351125
2012,Q3,0.25637936834958386
2012,Q4,0.24448906266511677
2013,Q1,0.2153395704188302
2013,Q2,0.19828203292770222
2013,Q3,0.17044863238388272
2013,Q4,0.19977884963681772
2014,Q1,0.2097674661286676
2014,Q2,0.2228434247414043
2014,Q3,0.23062184007986347
2014,Q4,0.2189505380295365
2015,Q1,0.2409677303726531
2015,Q2,0.2394922565148034
2015,Q3,0.2484151615749805
2015,Q4,0.2489329807749657
2016,Q1,0.22400063644395315
2016,Q2,0.21841096071365176
2016,Q3,0.22873018195623718
2016,Q4,0.24396597398010242
2017,Q1,0.26528655539350726
2017,Q2,0.27244753444058195
2017,Q3,0.27097073739850946
2017,Q4,0.2757378932484977
2018,Q1,0.2771497306848907
2018,Q2,0.2728142566678627
2018,Q3,0.27981354770843186
2018,Q4,0.2709521198830409
2019,Q1,0.2440646210082567
2019,Q2,0.22978647952517825
2019,Q3,0.21326194398682044
2019,Q4,0.23610182827265883
2020,Q1,0.23963129810329636
2020,Q2,0.25755324805304475
2020,Q3,0.2779073738981302
2020,Q4,0.2898328850226063
2021,Q1,0.3260846324606803
2021,Q2,0.33255805545847844
2021,Q3,0.348029866607008
2021,Q4,0.36269410563645155
2022,Q1,0.33597278069904113
2022,Q2,0.33287654102272846
2022,Q3,0.32478914074855036
2022,Q4,0.3070220181926379
2023,Q1,0.32483227531453507
2023,Q2,0.3299183973392118
2023,Q3,0.32800158494600345
2023,Q4,0.3281129234174574
2024,Q1,0.3152480815866801
2024,Q2,0.3065818227553571
2024,Q3,0.307164282637944
2024,Q4,0.31923829472559434
2025,Q1,0.3375973484749824
2025,Q2,0.3629105222411879
2025,Q3,0.36320625853719113
2025,Q4,0.3604613788100027
