year,quarter,revenue
2006,Q3,3077029287.0
2006,Q4,3599063931.0
2007,Q1,3918376948.0
2007,Q2,3906105656.0
2007,Q3,3883289141.0
2007,Q4,3791270774.0
2008,Q1,3761622376.0
2008,Q2,3676384968.0
2008,Q3,3437452874.0
2008,Q4,2962973668.0
2009,Q1,2227833974.0
2009,Q2,1659519320.0
2009,Q3,1519116946.0
2009,Q4,1596066000.0
2010,Q1,2154266000.0
2010,Q2,2946366000.0
2010,Q3,3567066000.0
2010,Q4,4507938000.0
2011,Q1,5218338000.0
2011,Q2,5679038000.0
2011,Q3,5961538000.0
2011,Q4,5651035000.0
2012,Q1,5450735000.0
2012,Q2,5149035000.0
2012,Q3,4919335000.0
2012,Q4,4731500000.0
2013,Q1,4371700000.0
2013,Q2,4330700000.0
2013,Q3,4420100000.0
2013,Q4,5245300000.0
2014,Q1,5749700000.0
2014,Q2,6206600000.0
2014,Q3,6210600000.0
2014,Q4,5856277000.0
2015,Q1,6109677000.0
2015,Q2,6120177000.0
2015,Q3,6347177000.0
2015,Q4,6287375000.0
2016,Q1,5970675000.0
2016,Q2,6056175000.0
2016,Q3,6321575000.0
2016,Q4,6794800000.0
2017,Q1,7405200000.0
2017,Q2,7767000000.0
2017,Q3,8399800000.0
2017,Q4,9052800000.0
2018,Q1,9394200000.0
2018,Q2,10033200000.0
2018,Q3,10361900000.0
2018,Q4,10944000000.0
2019,Q1,10888100000.0
2019,Q2,10715600000.0
2019,Q3,10926000000.0
2019,Q4,11819900000.0
2020,Q1,12031400000.0
2020,Q2,12789200000.0
2020,Q3,13760700000.0
2020,Q4,13978400000.0
2021,Q1,15901700000.0
2021,Q2,16596200000.0
2021,Q3,17879500000.0
2021,Q4,18611000000.0
2022,Q1,17781500000.0
2022,Q2,19191800000.0
2022,Q3,19728800000.0
2022,Q4,21173400000.0
2023,Q1,24385200000.0
2023,Q2,25857000000.0
2023,Q3,26751700000.0
2023,Q4,27558500000.0
2024,Q1,26102300000.0
2024,Q2,25442800000.0
2024,Q3,26237100000.0
2024,Q4,28262900000.0
2025,Q1,30714400000.0
2025,Q2,32163300000.0
2025,Q3,32212000000.0
2025,Q4,32667300000.0
