year,quarter,operating_margin
2006,Q3,0.05196519033314744
2006,Q4,0.05519173219197171
2007,Q1,0.026619808587678782
2007,Q2,0.04876231610642449
2007,Q3,0.07979682712847859
2007,Q4,0.09786726209354417
2008,Q1,0.13329473266278455
2008,Q2,0.1406670836088986
2008,Q3,0.15695311802154588
2008,Q4,0.15358283368005318
2009,Q1,0.15462947957102102
2009,Q2,0.1617802257247535
2009,Q3,0.18243124520715315
2009,Q4,0.20136497460452688
2010,Q1,0.209669146872973
2010,Q2,0.2208958306500229
2010,Q3,0.24718971120174707
2010,Q4,0.2550474828390122
2011,Q1,0.25770115081439227
2011,Q2,0.2755738034576214
2011,Q3,0.31349041076092354
2011,Q4,0.32117721256558496
2012,Q1,0.3242898826190598
2012,Q2,0.3369765376808004
2012,Q3,0.3476043782689371
2012,Q4,0.3478061781927087
2013,Q1,0.34350286596084023
2013,Q2,0.3392599333242618
2013,Q3,0.35479674731129807
2013,Q4,0.3551163454141474
2014,Q1,0.3562690029686969
2014,Q2,0.35893988635549207
2014,Q3,0.3678352042796862
2014,Q4,0.3640514756565736
2015,Q1,0.3551213576699457
2015,Q2,0.34257557527917853
2015,Q3,0.3508211360237085
2015,Q4,0.3533078483306622
2016,Q1,0.354119200806764
2016,Q2,0.34968502333608004
2016,Q3,0.26685591936095854
2016,Q4,0.2705307062101613
2017,Q1,0.26442528166361323
2017,Q2,0.26764118438257783
2017,Q3,0.3551229460262373
2017,Q4,0.3578552681861059
2018,Q1,0.35721342097964787
2018,Q2,0.36777303544662643
2018,Q3,0.3672477046088738
2018,Q4,0.3676645247361481
2019,Q1,0.35792870618951805
2019,Q2,0.35209550184881766
2019,Q3,0.3558271749305454
2019,Q4,0.3547723350590734
2020,Q1,0.30860370599986225
2020,Q2,0.24333893954147118
2020,Q3,0.07800382151286951
2020,Q4,-0.09284873454973513
2021,Q1,-0.11205523101433883
2021,Q2,-0.0285555091238334
2021,Q3,0.16223548562126966
2021,Q4,0.2277787917503194
2022,Q1,0.2382512787723785
2022,Q2,0.2756383995630206
2022,Q3,0.2874173012108351
2022,Q4,0.29853715623171445
2023,Q1,0.29593352776096404
2023,Q2,0.3128586939661858
2023,Q3,0.3185167232186137
2023,Q4,0.2731102270067868
2024,Q1,0.2807017543859649
2024,Q2,0.2838966025268985
2024,Q3,0.2791514836022905
2024,Q4,0.3182526643919289
2025,Q1,0.3249190401062858
2025,Q2,0.3284715284715285
2025,Q3,0.32735512116440724
2025,Q4,0.3289742541888026
