year,quarter,revenue
2006,Q3,1066945000.0
2006,Q4,1123103000.0
2007,Q1,1182578000.0
2007,Q2,1230807000.0
2007,Q3,1334627000.0
2007,Q4,1409409000.0
2008,Q1,1511200000.0
2008,Q2,1669296000.0
2008,Q3,1813618000.0
2008,Q4,1884807000.0
2009,Q1,1943685000.0
2009,Q2,2033450000.0
2009,Q3,2202501000.0
2009,Q4,2338212000.0
2010,Q1,2460548000.0
2010,Q2,2624246000.0
2010,Q3,2895343000.0
2010,Q4,3084904000.0
2011,Q1,3309830000.0
2011,Q2,3645107000.0
2011,Q3,4096154000.0
2011,Q4,4355611000.0
2012,Q1,4583538000.0
2012,Q2,4807581000.0
2012,Q3,5061087000.0
2012,Q4,5260956000.0
2013,Q1,5525721000.0
2013,Q2,5879200000.0
2013,Q3,6442793000.0
2013,Q4,6793306000.0
2014,Q1,7133096000.0
2014,Q2,7576433000.0
2014,Q3,8143027000.0
2014,Q4,8441971000.0
2015,Q1,8640863000.0
2015,Q2,8797685000.0
2015,Q3,9064089000.0
2015,Q4,9223987000.0
2016,Q1,9531412000.0
2016,Q2,9806917000.0
2016,Q3,10394568000.0
2016,Q4,10743006000.0
2017,Q1,11014291000.0
2017,Q2,11482945000.0
2017,Q3,12226422000.0
2017,Q4,12681082000.0
2018,Q1,13189678000.0
2018,Q2,13702122000.0
2018,Q3,14117093000.0
2018,Q4,14526615000.0
2019,Q1,14435615000.0
2019,Q2,14748615000.0
2019,Q3,14939615000.0
2019,Q4,15066000000.0
2020,Q1,14517000000.0
2020,Q2,11297000000.0
2020,Q3,8897000000.0
2020,Q4,6796000000.0
2021,Q1,5649000000.0
2021,Q2,7179000000.0
2021,Q3,9215000000.0
2021,Q4,10958000000.0
2022,Q1,12512000000.0
2022,Q2,14646000000.0
2022,Q3,16022000000.0
2022,Q4,17090000000.0
2023,Q1,18173000000.0
2023,Q2,19341000000.0
2023,Q3,20630000000.0
2023,Q4,21365000000.0
2024,Q1,22002000000.0
2024,Q2,22399000000.0
2024,Q3,23052000000.0
2024,Q4,23739000000.0
2025,Q1,24086000000.0
2025,Q2,25025000000.0
2025,Q3,26039000000.0
2025,Q4,26917000000.0
