year,quarter,shares_outstanding
2006,Q3,1265887515.0
2006,Q4,1355505015.0
2007,Q1,1359567515.0
2007,Q2,1363155015.0
2007,Q3,1363390015.0
2007,Q4,1352337515.0
2008,Q1,1340262514.75
2008,Q2,1323727514.5
2008,Q3,1306997514.25
2008,Q4,1302522514.25
2009,Q1,1298112514.25
2009,Q2,1297930014.25
2009,Q3,1299090014.25
2009,Q4,1300000014.25
2010,Q1,1302500014.25
2010,Q2,1305000014.25
2010,Q3,1307500014.25
2010,Q4,1307500014.25
2011,Q1,1307500014.25
2011,Q2,1300000014.25
2011,Q3,1290000014.25
2011,Q4,1282500019.0
2012,Q1,1272500019.0
2012,Q2,1267500018.75
2012,Q3,1262500018.5
2012,Q4,1257500018.25
2013,Q1,1247500018.0
2013,Q2,1236750018.0
2013,Q3,1226500018.0
2013,Q4,1216500013.5
2014,Q1,1206250013.25
2014,Q2,1194250013.0
2014,Q3,1182000012.75
2014,Q4,1168750017.0
2015,Q1,1159500017.0
2015,Q2,1152500017.0
2015,Q3,1145750016.75
2015,Q4,1137500016.5
2016,Q1,1127500016.25
2016,Q2,1117500016.0
2016,Q3,1109000016.0
2016,Q4,1100500016.0
2017,Q1,1093000016.0
2017,Q2,1086500016.0
2017,Q3,1078750016.0
2017,Q4,1072000015.75
2018,Q1,1065750015.5
2018,Q2,1059250015.25
2018,Q3,1053000015.0
2018,Q4,1046750015.0
2019,Q1,1040500015.0
2019,Q2,1034500015.0
2019,Q3,1028500015.0
2019,Q4,1022250015.0
2020,Q1,1016750011.25
2020,Q2,1012500007.5
2020,Q3,1009000003.75
2020,Q4,1006000003.75
2021,Q1,1003000003.75
2021,Q2,999500003.75
2021,Q3,995750003.75
2021,Q4,992000000.0
2022,Q1,987750000.0
2022,Q2,982750000.0
2022,Q3,977250000.0
2022,Q4,971500000.0
2023,Q1,965250000.0
2023,Q2,959000000.0
2023,Q3,952750000.0
2023,Q4,946750000.0
2024,Q1,941500000.0
2024,Q2,936750000.0
2024,Q3,932250000.0
2024,Q4,927250000.0
2025,Q1,922000000.0
2025,Q2,916750000.0
2025,Q3,911750000.0
2025,Q4,906500000.0
