year,quarter,free_cash_flow
2006,Q3,291984000.0
2006,Q4,555693000.0
2007,Q1,555553000.0
2007,Q2,775146000.0
2007,Q3,777849000.0
2007,Q4,613439000.0
2008,Q1,770754000.0
2008,Q2,717015000.0
2008,Q3,815504000.0
2008,Q4,242955000.0
2009,Q1,438958000.0
2009,Q2,483370000.0
2009,Q3,432374000.0
2009,Q4,1238802000.0
2010,Q1,925613000.0
2010,Q2,896333000.0
2010,Q3,1163316000.0
2010,Q4,1546000000.0
2011,Q1,1801000000.0
2011,Q2,1994000000.0
2011,Q3,2408000000.0
2011,Q4,2507000000.0
2012,Q1,2553000000.0
2012,Q2,2647000000.0
2012,Q3,2641000000.0
2012,Q4,2730000000.0
2013,Q1,3184000000.0
2013,Q2,3280000000.0
2013,Q3,3595000000.0
2013,Q4,3836000000.0
2014,Q1,3525000000.0
2014,Q2,3520000000.0
2014,Q3,3563000000.0
2014,Q4,3073000000.0
2015,Q1,3408000000.0
2015,Q2,3467000000.0
2015,Q3,3318000000.0
2015,Q4,3701000000.0
2016,Q1,3780000000.0
2016,Q2,3998000000.0
2016,Q3,4158000000.0
2016,Q4,4102000000.0
2017,Q1,3820000000.0
2017,Q2,4087000000.0
2017,Q3,4383000000.0
2017,Q4,5132000000.0
2018,Q1,5390000000.0
2018,Q2,5534000000.0
2018,Q3,6149000000.0
2018,Q4,5719000000.0
2019,Q1,5980000000.0
2019,Q2,5970000000.0
2019,Q3,5869000000.0
2019,Q4,7455000000.0
2020,Q1,7935000000.0
2020,Q2,7856000000.0
2020,Q3,7209000000.0
2020,Q4,6516000000.0
2021,Q1,6185000000.0
2021,Q2,6985000000.0
2021,Q3,7790000000.0
2021,Q4,8649000000.0
2022,Q1,8818000000.0
2022,Q2,9013000000.0
2022,Q3,10298000000.0
2022,Q4,10098000000.0
2023,Q1,10177000000.0
2023,Q2,10372000000.0
2023,Q3,9792000000.0
2023,Q4,11084000000.0
2024,Q1,10811000000.0
2024,Q2,11188000000.0
2024,Q3,13055000000.0
2024,Q4,13741000000.0
2025,Q1,14668000000.0
2025,Q2,16389000000.0
2025,Q3,17008000000.0
2025,Q4,17092000000.0
