year,quarter,operating_margin
2006,Q3,-0.5049268653389699
2006,Q4,0.06899876551153102
2007,Q1,0.10298270717304589
2007,Q2,0.24731837400368006
2007,Q3,0.25613609540762766
2007,Q4,0.27242434664773985
2008,Q1,0.30217045250058827
2008,Q2,-0.041935592943037114
2008,Q3,-0.17043351800296438
2008,Q4,-0.1070808959051206
2009,Q1,-0.09850174684765893
2009,Q2,0.2602698293182733
2009,Q3,0.4484438689914931
2009,Q4,0.4431033312686406
2010,Q1,0.4567495387986252
2010,Q2,0.4794612155973534
2010,Q3,0.4910021783829294
2010,Q4,0.49684058494313055
2011,Q1,0.5038381018841591
2011,Q2,0.5064633742127942
2011,Q3,0.512453300124533
2011,Q4,0.40408102472445634
2012,Q1,0.4127097977334672
2012,Q2,0.4163391353172375
2012,Q3,0.41915836101882614
2012,Q4,0.5326748748477879
2013,Q1,0.5364106645443693
2013,Q2,0.5499680102367243
2013,Q3,0.5523105360443623
2013,Q4,0.5395398993529834
2014,Q1,0.5435438922433813
2014,Q2,0.5443493921656911
2014,Q3,0.5469637396242901
2014,Q4,0.5405462629684522
2015,Q1,0.5441919191919192
2015,Q2,0.5290783119882427
2015,Q3,0.5215346017144051
2015,Q4,0.5252922313023689
2016,Q1,0.513508044116159
2016,Q2,0.510847158142731
2016,Q3,0.5224447186106103
2016,Q4,0.5346139569413512
2017,Q1,0.5349783080260304
2017,Q2,0.5420642563249585
2017,Q3,0.5412444518884516
2017,Q4,0.5298871729215011
2018,Q1,0.5201978565539983
2018,Q2,0.517663919742028
2018,Q3,0.5236942234520927
2018,Q4,0.4870903010033445
2019,Q1,0.5026541713087358
2019,Q2,0.5176672821035208
2019,Q3,0.5221798967805358
2019,Q4,0.5724101166854232
2020,Q1,0.5682526612950656
2020,Q2,0.5529738058551618
2020,Q3,0.5400448861814684
2020,Q4,0.5281354159858833
2021,Q1,0.5222373276364343
2021,Q2,0.5228966346153846
2021,Q3,0.5235552057566899
2021,Q4,0.5338911247617031
2022,Q1,0.5445818254925613
2022,Q2,0.5517373592139947
2022,Q3,0.550332778702163
2022,Q4,0.5515132436929442
2023,Q1,0.5456218774651591
2023,Q2,0.5548113607460788
2023,Q3,0.5671605039602742
2023,Q4,0.5581321220814408
2024,Q1,0.5633123200249046
2024,Q2,0.562940507768094
2024,Q3,0.5515316241827665
2024,Q4,0.5532005538395995
2025,Q1,0.5547834462829818
2025,Q2,0.5577857875070269
2025,Q3,0.5695176971468514
2025,Q4,0.5916562471409839
