year,quarter,revenue
2006,Q3,3221318000.0
2006,Q4,3326074000.0
2007,Q1,3502724000.0
2007,Q2,3653194000.0
2007,Q3,3834075000.0
2007,Q4,4067599000.0
2008,Q1,4334580000.0
2008,Q2,4584125000.0
2008,Q3,4839453000.0
2008,Q4,4991600000.0
2009,Q1,4965516000.0
2009,Q2,4999012000.0
2009,Q3,5024834000.0
2009,Q4,5098418000.0
2010,Q1,5250418000.0
2010,Q2,5335418000.0
2010,Q3,5399418000.0
2010,Q4,5539000000.0
2011,Q1,5732000000.0
2011,Q2,6034000000.0
2011,Q3,6424000000.0
2011,Q4,6714000000.0
2012,Q1,6971000000.0
2012,Q2,7124000000.0
2012,Q3,7224000000.0
2012,Q4,7391000000.0
2013,Q1,7539000000.0
2013,Q2,7815000000.0
2013,Q3,8115000000.0
2013,Q4,8346000000.0
2014,Q1,8612000000.0
2014,Q2,8884000000.0
2014,Q3,9156000000.0
2014,Q4,9446000000.0
2015,Q1,9504000000.0
2015,Q2,9526000000.0
2015,Q3,9566000000.0
2015,Q4,9667000000.0
2016,Q1,9883000000.0
2016,Q2,10187000000.0
2016,Q3,10537000000.0
2016,Q4,10776000000.0
2017,Q1,11064000000.0
2017,Q2,11423000000.0
2017,Q3,11941000000.0
2017,Q4,12497000000.0
2018,Q1,13343000000.0
2018,Q2,13955000000.0
2018,Q3,14455000000.0
2018,Q4,14950000000.0
2019,Q1,15259000000.0
2019,Q2,15707000000.0
2019,Q3,16276000000.0
2019,Q4,16883000000.0
2020,Q1,17003000000.0
2020,Q2,16225000000.0
2020,Q3,15595000000.0
2020,Q4,15301000000.0
2021,Q1,15447000000.0
2021,Q2,16640000000.0
2021,Q3,17788000000.0
2021,Q4,18884000000.0
2022,Q1,19896000000.0
2022,Q2,20865000000.0
2022,Q3,21636000000.0
2022,Q4,22237000000.0
2023,Q1,22818000000.0
2023,Q2,23590000000.0
2023,Q3,24367000000.0
2023,Q4,25098000000.0
2024,Q1,25698000000.0
2024,Q2,26390000000.0
2024,Q3,27226000000.0
2024,Q4,28167000000.0
2025,Q1,29069000000.0
2025,Q2,30241000000.0
2025,Q3,31474000000.0
2025,Q4,32791000000.0
