year,quarter,revenue
2010,Q4,1974000000.0
2011,Q1,2360000000.0
2011,Q2,2823000000.0
2011,Q3,3310000000.0
2011,Q4,3711000000.0
2012,Q1,4038000000.0
2012,Q2,4327000000.0
2012,Q3,4635000000.0
2012,Q4,5089000000.0
2013,Q1,5489000000.0
2013,Q2,6118000000.0
2013,Q3,6872000000.0
2013,Q4,7872000000.0
2014,Q1,8916000000.0
2014,Q2,10013000000.0
2014,Q3,11200000000.0
2014,Q4,12466000000.0
2015,Q1,13507000000.0
2015,Q2,14639000000.0
2015,Q3,15937000000.0
2015,Q4,17927000000.0
2016,Q1,19766000000.0
2016,Q2,22160000000.0
2016,Q3,24670000000.0
2016,Q4,27638000000.0
2017,Q1,30288000000.0
2017,Q2,33173000000.0
2017,Q3,36490000000.0
2017,Q4,40653000000.0
2018,Q1,44587000000.0
2018,Q2,48497000000.0
2018,Q3,51896000000.0
2018,Q4,55838000000.0
2019,Q1,58949000000.0
2019,Q2,62604000000.0
2019,Q3,66529000000.0
2019,Q4,70697000000.0
2020,Q1,73357000000.0
2020,Q2,75158000000.0
2020,Q3,78976000000.0
2020,Q4,85966000000.0
2021,Q1,94400000000.0
2021,Q2,104790000000.0
2021,Q3,112330000000.0
2021,Q4,117929000000.0
2022,Q1,119666000000.0
2022,Q2,119411000000.0
2022,Q3,118115000000.0
2022,Q4,116609000000.0
2023,Q1,117346000000.0
2023,Q2,120523000000.0
2023,Q3,126955000000.0
2023,Q4,134901000000.0
2024,Q1,142711000000.0
2024,Q2,149783000000.0
2024,Q3,156226000000.0
2024,Q4,164500000000.0
2025,Q1,170359000000.0
2025,Q2,178804000000.0
2025,Q3,189457000000.0
2025,Q4,200966000000.0
