year,quarter,shares_outstanding
2006,Q3,4570807500.0
2006,Q4,4806707500.0
2007,Q1,4880487500.0
2007,Q2,4893017500.0
2007,Q3,4853555000.0
2007,Q4,4750007500.0
2008,Q1,4647947500.0
2008,Q2,4542352500.0
2008,Q3,4440537500.0
2008,Q4,4369802500.0
2009,Q1,4297510000.0
2009,Q2,4224062500.0
2009,Q3,4148217500.0
2009,Q4,4046315000.0
2010,Q1,3942470000.0
2010,Q2,3849090000.0
2010,Q3,3778967500.0
2010,Q4,3776307500.0
2011,Q1,3767050000.0
2011,Q2,3759787500.0
2011,Q3,3758720000.0
2011,Q4,3805620000.0
2012,Q1,3826795000.0
2012,Q2,3912545000.0
2012,Q3,3997577500.0
2012,Q4,4062152500.0
2013,Q1,4144227500.0
2013,Q2,4175395000.0
2013,Q3,4214962500.0
2013,Q4,4253025000.0
2014,Q1,4277560000.0
2014,Q2,4295830000.0
2014,Q3,4310355000.0
2014,Q4,4318825000.0
2015,Q1,4326262500.0
2015,Q2,4337909997.5
2015,Q3,4350074997.5
2015,Q4,4364427497.5
2016,Q1,4374882497.5
2016,Q2,4380025000.0
2016,Q3,4381982500.0
2016,Q4,4386497500.0
2017,Q1,4405160000.0
2017,Q2,4425430000.0
2017,Q3,4447862500.0
2017,Q4,4468060000.0
2018,Q1,4480312500.0
2018,Q2,4493537500.0
2018,Q3,4504930000.0
2018,Q4,4512365000.0
2019,Q1,4516272500.0
2019,Q2,4517880000.0
2019,Q3,4516962500.0
2019,Q4,4517590000.0
2020,Q1,4519020000.0
2020,Q2,4523395000.0
2020,Q3,4532235000.0
2020,Q4,4542025000.0
2021,Q1,4549892500.0
2021,Q2,4552852500.0
2021,Q3,4552445000.0
2021,Q4,4553725000.0
2022,Q1,4547082500.0
2022,Q2,4534682500.0
2022,Q3,4523230000.0
2022,Q4,4512865000.0
2023,Q1,4511447500.0
2023,Q2,4514955000.0
2023,Q3,4514122500.0
2023,Q4,4508745000.0
2024,Q1,4481837500.0
2024,Q2,4452255000.0
2024,Q3,4421972500.0
2024,Q4,4392692500.0
2025,Q1,4380962500.0
2025,Q2,4371407500.0
2025,Q3,4364872500.0
2025,Q4,4349693500.0
