year,quarter,revenue
2006,Q3,908686000.0
2006,Q4,996660000.0
2007,Q1,1077854000.0
2007,Q2,1142196000.0
2007,Q3,1180218000.0
2007,Q4,1205340000.0
2008,Q1,1226203000.0
2008,Q2,1260124000.0
2008,Q3,1307421000.0
2008,Q4,1364661000.0
2009,Q1,1432576000.0
2009,Q2,1503471000.0
2009,Q3,1585322000.0
2009,Q4,1670269000.0
2010,Q1,1769836000.0
2010,Q2,1881146000.0
2010,Q3,2011245000.0
2010,Q4,2162625000.0
2011,Q1,2387513000.0
2011,Q2,2656304000.0
2011,Q3,2924924000.0
2011,Q4,3204577000.0
2012,Q1,3355815000.0
2012,Q2,3456368000.0
2012,Q3,3539618000.0
2012,Q4,3609282000.0
2013,Q1,3763452000.0
2013,Q2,3943661000.0
2013,Q3,4144571000.0
2013,Q4,4374562000.0
2014,Q1,4620690000.0
2014,Q2,4891725000.0
2014,Q3,5195158000.0
2014,Q4,5504656000.0
2015,Q1,5807696000.0
2015,Q2,6111983000.0
2015,Q3,6440906000.0
2015,Q4,6779511000.0
2016,Q1,7164118000.0
2016,Q2,7624628000.0
2016,Q3,8176461000.0
2016,Q4,8830669000.0
2017,Q1,9509568000.0
2017,Q2,10189828000.0
2017,Q3,10884499000.0
2017,Q4,11692713000.0
2018,Q1,12756934000.0
2018,Q2,13878740000.0
2018,Q3,14893255000.0
2018,Q4,15794341000.0
2019,Q1,16614477000.0
2019,Q2,17630323000.0
2019,Q3,18875854000.0
2019,Q4,20156447000.0
2020,Q1,21403146000.0
2020,Q2,22628316000.0
2020,Q3,23819048000.0
2020,Q4,24996056000.0
2021,Q1,26391647000.0
2021,Q2,27585138000.0
2021,Q3,28632968000.0
2021,Q4,29697844000.0
2022,Q1,30402329000.0
2022,Q2,31030693000.0
2022,Q3,31472815000.0
2022,Q4,31615550000.0
2023,Q1,31909286000.0
2023,Q2,32126446000.0
2023,Q3,32742525000.0
2023,Q4,33723297000.0
2024,Q1,34932234000.0
2024,Q2,36304243000.0
2024,Q3,37587278000.0
2024,Q4,39000966000.0
2025,Q1,40173327000.0
2025,Q2,41693183000.0
2025,Q3,43378787000.0
2025,Q4,45183036000.0
