year,quarter,operating_margin
2017,Q4,-0.5143721633888049
2018,Q1,-0.41615667074663404
2018,Q2,-0.35898209615771476
2018,Q3,-0.2958927074601844
2018,Q4,-0.2691215616681455
2019,Q1,-0.3045396690708528
2019,Q2,-0.684150045144874
2019,Q3,-0.6648789457554398
2019,Q4,-0.607619990103909
2020,Q1,-0.617305540011192
2020,Q2,-0.3792839070765928
2020,Q3,-0.4116084032217886
2020,Q4,-0.4365741987611096
2021,Q1,-0.47470817120622566
2021,Q2,-0.3672911787665886
2021,Q3,-0.280353052149306
2021,Q4,-0.2196505299341163
2022,Q1,-0.13043072035877792
2022,Q2,-0.09068493150684931
2022,Q3,-0.07711374277058662
2022,Q4,-0.057470903786429085
2023,Q1,-0.047627489215860075
2023,Q2,-0.016370025426392022
2023,Q3,0.008789497107254117
2023,Q4,0.029773879456023174
2024,Q1,0.0400114022130659
2024,Q2,0.05027584313138121
2024,Q3,0.06390179954713383
2024,Q4,0.06364545909318295
2025,Q1,0.08494931687968268
2025,Q2,0.09526525955504848
2025,Q3,0.09193710945373916
2025,Q4,0.10698425514735567
