year,quarter,revenue
2017,Q4,7932000000.0
2018,Q1,8987000000.0
2018,Q2,9942000000.0
2018,Q3,10737000000.0
2018,Q4,11270000000.0
2019,Q1,11785000000.0
2019,Q2,12183000000.0
2019,Q3,13052000000.0
2019,Q4,14147000000.0
2020,Q1,14296000000.0
2020,Q2,13043000000.0
2020,Q3,12043000000.0
2020,Q4,11139000000.0
2021,Q1,10794000000.0
2021,Q2,12810000000.0
2021,Q3,14842000000.0
2021,Q4,17455000000.0
2022,Q1,21406000000.0
2022,Q2,25550000000.0
2022,Q3,29048000000.0
2022,Q4,31877000000.0
2023,Q1,33846000000.0
2023,Q2,35003000000.0
2023,Q3,35952000000.0
2023,Q4,37281000000.0
2024,Q1,38589000000.0
2024,Q2,40059000000.0
2024,Q3,41955000000.0
2024,Q4,43978000000.0
2025,Q1,45380000000.0
2025,Q2,47331000000.0
2025,Q3,49610000000.0
2025,Q4,52017000000.0
