year,quarter,eps_diluted
2006,Q3,2.775410333449856
2006,Q4,2.968814737773045
2007,Q1,3.0035239154248563
2007,Q2,3.192091863512096
2007,Q3,3.3478808687777244
2007,Q4,3.4281008626516973
2008,Q1,3.543262486033478
2008,Q2,2.92215146241832
2008,Q3,2.7201672980067984
2008,Q4,2.3962798239706293
2009,Q1,2.4317251866887193
2009,Q2,2.878070836399415
2009,Q3,3.0024299907860756
2009,Q4,3.215403490109547
2010,Q1,3.432457166222676
2010,Q2,3.696214811789159
2010,Q3,3.9581804028250342
2010,Q4,4.089369927778703
2011,Q1,4.28384288369018
2011,Q2,4.461192140853108
2011,Q3,4.498663018834727
2011,Q4,4.72670948844671
2012,Q1,4.811393678190388
2012,Q2,4.927805582624488
2012,Q3,5.252770012340183
2012,Q4,5.282151726138932
2013,Q1,5.13112398350549
2013,Q2,5.25618693215983
2013,Q3,5.290833753021234
2013,Q4,5.498517311457705
2014,Q1,5.443524746445469
2014,Q2,5.464701693747011
2014,Q3,5.5628631308651375
2014,Q4,5.707466636564382
2015,Q1,6.062257316311233
2015,Q2,6.282256982039851
2015,Q3,6.302391902858643
2015,Q4,6.01005623379602
2016,Q1,6.217829148655101
2016,Q2,6.390899689762151
2016,Q3,6.770359959147214
2016,Q4,7.246876766362643
2017,Q1,7.808591824830545
2017,Q2,8.313516260129418
2017,Q3,8.795195537129985
2017,Q4,10.708961700642838
2018,Q1,11.354622989708382
2018,Q2,12.011401345286451
2018,Q3,12.741895581477637
2018,Q4,12.1877699579946
2019,Q1,12.870313797134184
2019,Q2,13.310728819402229
2019,Q3,13.741531171749347
2019,Q4,14.326681338365907
2020,Q1,14.286376418060987
2020,Q2,17.783942980993213
2020,Q3,17.40730466042966
2020,Q4,16.028200470191237
2021,Q1,17.593067724713663
2021,Q2,15.141869154281306
2021,Q3,16.12310588839762
2021,Q4,18.084164122893753
2022,Q1,18.27309638632179
2022,Q2,19.14759539535064
2022,Q3,20.41969427532943
2022,Q4,21.184322171634655
2023,Q1,21.86508920489974
2023,Q2,22.351651354955727
2023,Q3,23.04140305894794
2023,Q4,23.848172536442302
2024,Q1,16.369813903473723
2024,Q2,15.089513096430439
2024,Q3,15.359881169217868
2024,Q4,15.505160345907665
2025,Q1,23.887390413157508
2025,Q2,23.08714410773879
2025,Q3,19.150952823075517
2025,Q4,13.18243805844425
