year,quarter,free_cash_flow
2006,Q3,4906000000.0
2006,Q4,5798000000.0
2007,Q1,5445000000.0
2007,Q2,5352000000.0
2007,Q3,5503000000.0
2007,Q4,5006000000.0
2008,Q1,2710000000.0
2008,Q2,1643000000.0
2008,Q3,2924000000.0
2008,Q4,3447000000.0
2009,Q1,4331000000.0
2009,Q2,4275000000.0
2009,Q3,5270000000.0
2009,Q4,4886000000.0
2010,Q1,5007000000.0
2010,Q2,5178000000.0
2010,Q3,5308000000.0
2010,Q4,5395000000.0
2011,Q1,5333000000.0
2011,Q2,5713000000.0
2011,Q3,7688000000.0
2011,Q4,5901000000.0
2012,Q1,8207000000.0
2012,Q2,9304000000.0
2012,Q3,4011000000.0
2012,Q4,6085000000.0
2013,Q1,3498000000.0
2013,Q2,2827000000.0
2013,Q3,6481000000.0
2013,Q4,5830000000.0
2014,Q1,6155000000.0
2014,Q2,5488000000.0
2014,Q3,5248000000.0
2014,Q4,6604000000.0
2015,Q1,7445000000.0
2015,Q2,7614000000.0
2015,Q3,7260000000.0
2015,Q4,8184000000.0
2016,Q1,8181000000.0
2016,Q2,8656000000.0
2016,Q3,13011000000.0
2016,Q4,8090000000.0
2017,Q1,12146000000.0
2017,Q2,12604000000.0
2017,Q3,12888000000.0
2017,Q4,11573000000.0
2018,Q1,13516000000.0
2018,Q2,15287000000.0
2018,Q3,8603000000.0
2018,Q4,13650000000.0
2019,Q1,8430000000.0
2019,Q2,10365000000.0
2019,Q3,12675000000.0
2019,Q4,16392000000.0
2020,Q1,16194000000.0
2020,Q2,20287000000.0
2020,Q3,20151000000.0
2020,Q4,20123000000.0
2021,Q1,23086000000.0
2021,Q2,18512000000.0
2021,Q3,22893000000.0
2021,Q4,19889000000.0
2022,Q1,19216000000.0
2022,Q2,20452000000.0
2022,Q3,31326000000.0
2022,Q4,23404000000.0
2023,Q1,34207000000.0
2023,Q2,38196000000.0
2023,Q3,26435000000.0
2023,Q4,25682000000.0
2024,Q1,10516000000.0
2024,Q2,6206000000.0
2024,Q3,13096000000.0
2024,Q4,20705000000.0
2025,Q1,24862000000.0
2025,Q2,25271000000.0
2025,Q3,17372000000.0
2025,Q4,16075000000.0
