year,quarter,operating_margin
2006,Q3,0.09621289662231321
2006,Q4,0.09762097788711527
2007,Q1,0.0971537365768135
2007,Q2,0.10115314586283633
2007,Q3,0.10409597349507041
2007,Q4,0.1040553618538797
2008,Q1,0.10405800125182559
2008,Q2,0.08438943047716778
2008,Q3,0.07580850233518385
2008,Q4,0.06482644790973813
2009,Q1,0.06295393673237941
2009,Q2,0.07102255871079519
2009,Q3,0.07065774752936789
2009,Q4,0.07297619867336869
2010,Q1,0.07593374619312328
2010,Q2,0.07970112079701121
2010,Q3,0.08309305943922793
2010,Q4,0.08352185226488237
2011,Q1,0.08370852957652966
2011,Q2,0.08404497580415599
2011,Q3,0.08193966551972473
2011,Q4,0.08320880849390484
2012,Q1,0.08264941585401178
2012,Q2,0.0822624785750135
2012,Q3,0.08573446196444998
2012,Q4,0.08365727096855846
2013,Q1,0.07984095147612513
2013,Q2,0.0791908850443849
2013,Q3,0.07717598488442746
2013,Q4,0.07856215660181731
2014,Q1,0.0770081626391726
2014,Q2,0.07688279123652032
2014,Q3,0.07772437147895567
2014,Q4,0.07874365774023943
2015,Q1,0.08073028946938048
2015,Q2,0.08105722409938428
2015,Q3,0.07702411171830871
2015,Q4,0.07014964323677493
2016,Q1,0.0683695245903616
2016,Q2,0.06614991482112437
2016,Q3,0.06749988944412506
2016,Q4,0.06995239125730361
2017,Q1,0.0707960388497429
2017,Q2,0.07222591431122925
2017,Q3,0.07332950216901538
2017,Q4,0.07560685825640413
2018,Q1,0.07633510576811929
2018,Q2,0.07639347177953448
2018,Q3,0.07651063481452174
2018,Q4,0.0766595800165306
2019,Q1,0.07833009893372866
2019,Q2,0.07912208109345588
2019,Q3,0.07963833755439749
2019,Q4,0.08129090871549215
2020,Q1,0.0805991846281287
2020,Q2,0.0982442264467679
2020,Q3,0.09495397406710877
2020,Q4,0.08713118483633493
2021,Q1,0.09184682560209344
2021,Q2,0.07675515161760976
2021,Q3,0.07856910149970822
2021,Q4,0.0833457928977006
2022,Q1,0.08126701394723576
2022,Q2,0.0826426062023545
2022,Q3,0.08595192911861588
2022,Q4,0.08771848643579445
2023,Q1,0.08802359917129045
2023,Q2,0.08750268998464915
2023,Q3,0.08767105021917762
2023,Q4,0.08707234770815506
2024,Q1,0.08485929689291069
2024,Q2,0.0830766995555717
2024,Q3,0.08175466745197996
2024,Q4,0.0806614402989922
2025,Q1,0.0816349922084003
2025,Q2,0.07272632669375476
2025,Q3,0.06056866570609823
2025,Q4,0.04237130977038075
