year,quarter,revenue
2006,Q3,65459000000.0
2006,Q4,71542000000.0
2007,Q1,73008000000.0
2007,Q2,74145000000.0
2007,Q3,74854000000.0
2007,Q4,75431000000.0
2008,Q1,76688000000.0
2008,Q2,77960000000.0
2008,Q3,79437000000.0
2008,Q4,81186000000.0
2009,Q1,82886000000.0
2009,Q2,84269000000.0
2009,Q3,85808000000.0
2009,Q4,87138000000.0
2010,Q1,88327000000.0
2010,Q2,89936000000.0
2010,Q3,91909000000.0
2010,Q4,94155000000.0
2011,Q1,96394000000.0
2011,Q2,98364000000.0
2011,Q3,99976000000.0
2011,Q4,101720000000.0
2012,Q1,103570000000.0
2012,Q2,105601000000.0
2012,Q3,107623000000.0
2012,Q4,110618000000.0
2013,Q1,113676000000.0
2013,Q2,116819000000.0
2013,Q3,120141000000.0
2013,Q4,122489000000.0
2014,Q1,123857000000.0
2014,Q2,126023000000.0
2014,Q3,128158000000.0
2014,Q4,130474000000.0
2015,Q1,134522000000.0
2015,Q2,138211000000.0
2015,Q3,146941000000.0
2015,Q4,157107000000.0
2016,Q1,165878000000.0
2016,Q2,176100000000.0
2016,Q3,180904000000.0
2016,Q4,184840000000.0
2017,Q1,189036000000.0
2017,Q2,192604000000.0
2017,Q3,196633000000.0
2017,Q4,201159000000.0
2018,Q1,207624000000.0
2018,Q2,213657000000.0
2018,Q3,219891000000.0
2018,Q4,226247000000.0
2019,Q1,231367000000.0
2019,Q2,235876000000.0
2019,Q3,239671000000.0
2019,Q4,242155000000.0
2020,Q1,246268000000.0
2020,Q2,247811000000.0
2020,Q3,252575000000.0
2020,Q4,257141000000.0
2021,Q1,262916000000.0
2021,Q2,272099000000.0
2021,Q3,279321000000.0
2021,Q4,287597000000.0
2022,Q1,297550000000.0
2022,Q2,306561000000.0
2022,Q3,315118000000.0
2022,Q4,324162000000.0
2023,Q1,335944000000.0
2023,Q2,348515000000.0
2023,Q3,359982000000.0
2023,Q4,371622000000.0
2024,Q1,379487000000.0
2024,Q2,385439000000.0
2024,Q3,393898000000.0
2024,Q4,400278000000.0
2025,Q1,410057000000.0
2025,Q2,422818000000.0
2025,Q3,435159000000.0
2025,Q4,447567000000.0
