year,quarter,operating_margin
2006,Q4,0.21406942880441113
2007,Q1,0.22094176891199654
2007,Q2,0.22398454849123856
2007,Q3,0.25440916129054286
2007,Q4,0.2715697646618096
2008,Q1,0.29029200166288166
2008,Q2,0.3012421798821997
2008,Q3,0.28830199907768866
2008,Q4,0.28723544221622516
2009,Q1,0.2764102083125949
2009,Q2,0.26169708050804874
2009,Q3,0.2609850731554243
2009,Q4,0.23440171658259934
2010,Q1,0.21848720562805918
2010,Q2,0.2227411120749879
2010,Q3,0.24223481737575214
2010,Q4,0.26133526315789474
2011,Q1,0.2818274903086566
2011,Q2,0.2884590593087438
2011,Q3,0.27998500998147613
2011,Q4,0.2607285891897507
2012,Q1,0.25649562612252147
2012,Q2,0.25705933183577
2012,Q3,0.25407833436685817
2012,Q4,0.26800126348957926
2013,Q1,0.22660586808601274
2013,Q2,0.18709349712987633
2013,Q3,0.15062555061004773
2013,Q4,0.1042411793136781
2014,Q1,0.09962848552694549
2014,Q2,0.10406304672233338
2014,Q3,0.09501204732621282
2014,Q4,0.09951254682528488
2015,Q1,0.1191139548030298
2015,Q2,0.12995703983102824
2015,Q3,0.16157293199793532
2015,Q4,0.18832091095192985
2016,Q1,0.20471332918447274
2016,Q2,0.22397316656540178
2016,Q3,0.23624963191692264
2016,Q4,0.2551233851971926
2017,Q1,0.2689602894059737
2017,Q2,0.27806072180811503
2017,Q3,0.28841664651938215
2017,Q4,0.2969380970087674
2018,Q1,0.3119742204180752
2018,Q2,0.3196550937850592
2018,Q3,0.32304830927004247
2018,Q4,0.31454778334637135
2019,Q1,0.29653098034789965
2019,Q2,0.28547171957583695
2019,Q3,0.2836096883711793
2019,Q4,0.2925461826452365
2020,Q1,0.3010191787400258
2020,Q2,0.3135509382676896
2020,Q3,0.32099943518562
2020,Q4,0.32926639726453216
2021,Q1,0.34746382107878965
2021,Q2,0.35749530891653347
2021,Q3,0.3653222067686602
2021,Q4,0.3675641431738993
2022,Q1,0.3672407384462892
2022,Q2,0.3624872701132211
2022,Q3,0.3544878133907277
2022,Q4,0.34635919572872886
2023,Q1,0.33912995166398135
2023,Q2,0.3363720223560692
2023,Q3,0.3395107487027428
2023,Q4,0.3426245556185275
2024,Q1,0.29950842696629215
2024,Q2,0.3050565372754418
2024,Q3,0.31159593259177926
2024,Q4,0.31346198558474775
2025,Q1,0.36288968552888323
2025,Q2,0.36374496703685677
2025,Q3,0.36245200811009015
2025,Q4,0.36627540073204595
2026,Q1,0.3678894205209995
