year,quarter,revenue
2006,Q3,9702000000.0
2006,Q4,10711000000.0
2007,Q1,11447000000.0
2007,Q2,12194000000.0
2007,Q3,13149000000.0
2007,Q4,14835000000.0
2008,Q1,15955000000.0
2008,Q2,17132000000.0
2008,Q3,18134000000.0
2008,Q4,19166000000.0
2009,Q1,19920000000.0
2009,Q2,20508000000.0
2009,Q3,21693000000.0
2009,Q4,24509000000.0
2010,Q1,26751000000.0
2010,Q2,28666000000.0
2010,Q3,30777000000.0
2010,Q4,34204000000.0
2011,Q1,36930000000.0
2011,Q2,40277000000.0
2011,Q3,43593000000.0
2011,Q4,48077000000.0
2012,Q1,51405000000.0
2012,Q2,54326000000.0
2012,Q3,57256000000.0
2012,Q4,61093000000.0
2013,Q1,63978000000.0
2013,Q2,66848000000.0
2013,Q3,70134000000.0
2013,Q4,74453000000.0
2014,Q1,78124000000.0
2014,Q2,81760000000.0
2014,Q3,85247000000.0
2014,Q4,88989000000.0
2015,Q1,91965000000.0
2015,Q2,95810000000.0
2015,Q3,100589000000.0
2015,Q4,107007000000.0
2016,Q1,113418000000.0
2016,Q2,120637000000.0
2016,Q3,127993000000.0
2016,Q4,135987000000.0
2017,Q1,142573000000.0
2017,Q2,150124000000.0
2017,Q3,161154000000.0
2017,Q4,177866000000.0
2018,Q1,193194000000.0
2018,Q2,208125000000.0
2018,Q3,220957000000.0
2018,Q4,232887000000.0
2019,Q1,241545000000.0
2019,Q2,252063000000.0
2019,Q3,265468000000.0
2019,Q4,280521000000.0
2020,Q1,296273000000.0
2020,Q2,321781000000.0
2020,Q3,347945000000.0
2020,Q4,386064000000.0
2021,Q1,419130000000.0
2021,Q2,443298000000.0
2021,Q3,457965000000.0
2021,Q4,469822000000.0
2022,Q1,477748000000.0
2022,Q2,485902000000.0
2022,Q3,502191000000.0
2022,Q4,513983000000.0
2023,Q1,524897000000.0
2023,Q2,538046000000.0
2023,Q3,554028000000.0
2023,Q4,574785000000.0
2024,Q1,590740000000.0
2024,Q2,604334000000.0
2024,Q3,620128000000.0
2024,Q4,637959000000.0
2025,Q1,650313000000.0
2025,Q2,670038000000.0
2025,Q3,691330000000.0
2025,Q4,716924000000.0
