year,quarter,eps_diluted
2006,Q3,1.1441511395923598
2006,Q4,1.553367760815226
2007,Q1,1.757381477139572
2007,Q2,1.769332347126155
2007,Q3,1.789683807277238
2007,Q4,1.8755785811339576
2008,Q1,1.9142886170157931
2008,Q2,2.0737664858694616
2008,Q3,1.8441902256987583
2008,Q4,0.9652737445471944
2009,Q1,0.17993409749562173
2009,Q2,-0.7065681355254608
2009,Q3,-0.8659691456310383
2009,Q4,-0.45540167713800894
2010,Q1,0.21507445707521095
2010,Q2,1.2351540525739113
2010,Q3,1.9694922983931984
2010,Q4,3.018913544675894
2011,Q1,3.8649806273318545
2011,Q2,4.453491195336612
2011,Q3,4.760676988990083
2011,Q4,4.4438557613215295
2012,Q1,3.9590819294186463
2012,Q2,3.370074066604144
2012,Q3,2.9144126225983586
2012,Q4,2.685812639458581
2013,Q1,2.2405858482215435
2013,Q2,2.1027626749577975
2013,Q3,1.8893669953275207
2013,Q4,2.3150815946673893
2014,Q1,2.642458859274797
2014,Q2,2.9758418599213137
2014,Q3,3.0997560851816477
2014,Q4,2.720629107178449
2015,Q1,3.084069681665947
2015,Q2,3.0334524742772486
2015,Q3,3.2234222128741585
2015,Q4,3.2018004484840894
2016,Q1,2.7381222302247363
2016,Q2,2.715428966896273
2016,Q3,2.8994298113422965
2016,Q4,3.4420949628063147
2017,Q1,4.0264655876362
2017,Q2,4.275322427456045
2017,Q3,4.6351265217099975
2017,Q4,4.908090787954814
2018,Q1,5.120624537525435
2018,Q2,5.4079873023146465
2018,Q3,5.715962081214233
2018,Q4,6.080720939089922
2019,Q1,5.662385662990826
2019,Q2,5.425120186199969
2019,Q3,5.313926788218888
2019,Q4,6.148046149153389
2020,Q1,6.238710909507552
2020,Q2,6.90257676003337
2020,Q3,7.9484162442548145
2020,Q4,8.483004194052144
2021,Q1,10.754359635529102
2021,Q2,11.481899779654041
2021,Q3,13.208628522933083
2021,Q4,14.35962148849265
2022,Q1,12.889357201790009
2022,Q2,13.90909302474316
2022,Q3,13.940376926157754
2022,Q4,14.15801837665008
2023,Q1,17.38016317055238
2023,Q2,18.768697023810358
2023,Q3,19.287725799134677
2023,Q4,19.89218229897121
2024,Q1,18.046739806667787
2024,Q2,17.128478272473163
2024,Q3,17.594893223087617
2024,Q4,19.23701764553804
2025,Q1,22.128559428621603
2025,Q2,25.008967632480136
2025,Q3,25.214473214045242
2025,Q4,25.70895310942559
