year,quarter,free_cash_flow
2006,Q3,252422486.14000002
2006,Q4,406768148.29
2007,Q1,578462820.88
2007,Q2,480239380.59000003
2007,Q3,614154789.1400001
2007,Q4,190631296.83000004
2008,Q1,462317642.91
2008,Q2,314177481.3000001
2008,Q3,146880992.03000006
2008,Q4,20990611.850000024
2009,Q1,-148215873.22999996
2009,Q2,-190076610.49999997
2009,Q3,-226737872.17999998
2009,Q4,-7194999.99999997
2010,Q1,-11632999.99999997
2010,Q2,135669000.00000003
2010,Q3,589157000.0
2010,Q4,811320000.0
2011,Q1,1811320000.0
2011,Q2,2074920000.0
2011,Q3,1964420000.0
2011,Q4,1769542000.0
2012,Q1,1080742000.0
2012,Q2,677442000.0
2012,Q3,858142000.0
2012,Q4,524000000.0
2013,Q1,91300000.0
2013,Q2,486800000.0
2013,Q3,99800000.0
2013,Q4,839400000.0
2014,Q1,1054900000.0
2014,Q2,748800000.0
2014,Q3,826700000.0
2014,Q4,663974000.0
2015,Q1,786574000.0
2015,Q2,866474000.0
2015,Q3,1069774000.0
2015,Q4,1652600000.0
2016,Q1,1337500000.0
2016,Q2,1513800000.0
2016,Q3,1107334388.0
2016,Q4,1408192971.0
2017,Q1,1267890329.0
2017,Q2,1436548660.0
2017,Q3,1800526562.0
2017,Q4,1495731503.0
2018,Q1,1849448910.0
2018,Q2,1872093706.0
2018,Q3,1934598985.0
2018,Q4,2563230221.0
2019,Q1,1780434989.0
2019,Q2,1182993575.0
2019,Q3,704802195.0
2019,Q4,2448734461.0
2020,Q1,2234649908.0
2020,Q2,2409705701.0
2020,Q3,2505394644.0
2020,Q4,3319462191.0
2021,Q1,3012483138.0
2021,Q2,6237478494.0
2021,Q3,7907929543.0
2021,Q4,10225567378.0
2022,Q1,10543403359.0
2022,Q2,9619652536.0
2022,Q3,8817574330.0
2022,Q4,7349941922.0
2023,Q1,8388750014.0
2023,Q2,5784587975.0
2023,Q3,5571700000.0
2023,Q4,3216312064.0
2024,Q1,2338873921.0
2024,Q2,2890153576.0
2024,Q3,2782012459.0
2024,Q4,9526076405.0
2025,Q1,9741409742.0
2025,Q2,9700930087.0
2025,Q3,9445971204.0
2025,Q4,10731183539.0
