year,quarter,shares_outstanding
2006,Q3,44798500.0
2006,Q4,44370000.0
2007,Q1,43822750.0
2007,Q2,42991250.0
2007,Q3,42876000.0
2007,Q4,43071500.0
2008,Q1,46057250.0
2008,Q2,47627500.0
2008,Q3,48310500.0
2008,Q4,49102250.0
2009,Q1,48572000.0
2009,Q2,48204750.0
2009,Q3,48458250.0
2009,Q4,48671000.0
2010,Q1,49633250.0
2010,Q2,50225250.0
2010,Q3,50447500.0
2010,Q4,50814000.0
2011,Q1,50888250.0
2011,Q2,50952750.0
2011,Q3,51109000.0
2011,Q4,51164750.0
2012,Q1,51211750.0
2012,Q2,51242000.0
2012,Q3,51242250.0
2012,Q4,51249750.0
2013,Q1,51251250.0
2013,Q2,51472500.0
2013,Q3,51922250.0
2013,Q4,52346500.0
2014,Q1,52762750.0
2014,Q2,52973750.0
2014,Q3,52983750.0
2014,Q4,53005000.0
2015,Q1,52852000.0
2015,Q2,52622750.0
2015,Q3,52149250.0
2015,Q4,51494250.0
2016,Q1,50925000.0
2016,Q2,50430250.0
2016,Q3,50141500.0
2016,Q4,50045750.0
2017,Q1,50019750.0
2017,Q2,50019000.0
2017,Q3,50018250.0
2017,Q4,49683000.0
2018,Q1,49478000.0
2018,Q2,49101500.0
2018,Q3,48546250.0
2018,Q4,48023750.0
2019,Q1,47081500.0
2019,Q2,45844250.0
2019,Q3,44614250.0
2019,Q4,43519500.0
2020,Q1,42433750.0
2020,Q2,41782250.0
2020,Q3,41344750.0
2020,Q4,41028250.0
2021,Q1,40998250.0
2021,Q2,41013000.0
2021,Q3,41078250.0
2021,Q4,41185000.0
2022,Q1,41172000.0
2022,Q2,41074750.0
2022,Q3,40657000.0
2022,Q4,39991500.0
2023,Q1,39257000.0
2023,Q2,38331750.0
2023,Q3,37410750.0
2023,Q4,36539000.0
2024,Q1,35719750.0
2024,Q2,35045500.0
2024,Q3,34514750.0
2024,Q4,34065750.0
2025,Q1,33662500.0
2025,Q2,33250500.0
2025,Q3,32924000.0
2025,Q4,32727250.0
