year,quarter,eps_diluted
2006,Q3,1.3978933060122851
2006,Q4,1.6121478732414039
2007,Q1,1.2189747111154672
2007,Q2,1.744335038898916
2007,Q3,2.964463306741075
2007,Q4,3.3907692991570446
2008,Q1,4.066832542063098
2008,Q2,4.272911104499019
2008,Q3,3.7367463721578282
2008,Q4,3.697829181608556
2009,Q1,3.949710102596997
2009,Q2,4.3341810041302145
2009,Q3,9.019812093357258
2009,Q4,9.920796399753437
2010,Q1,10.447778088856815
2010,Q2,11.326350825277723
2010,Q3,9.31461838295013
2010,Q4,10.39235228630556
2011,Q1,11.381433505618988
2011,Q2,14.13708760858986
2011,Q3,18.899563517503076
2011,Q4,20.645152914673577
2012,Q1,22.140759587908303
2012,Q2,24.00254860228546
2012,Q3,26.4852647736475
2012,Q4,27.711134154405244
2013,Q1,28.923911138034214
2013,Q2,30.437827935803313
2013,Q3,34.50386263449225
2013,Q4,36.01230752474137
2014,Q1,37.502878434716344
2014,Q2,39.99635368982521
2014,Q3,44.30827167435745
2014,Q4,45.68780395183362
2015,Q1,45.80100343281772
2015,Q2,44.85098931557303
2015,Q3,48.22322344391641
2015,Q4,49.70654999026152
2016,Q1,50.815285438379554
2016,Q2,52.47869613157548
2016,Q3,39.19842701598894
2016,Q4,42.66645612638911
2017,Q1,44.3051527337199
2017,Q2,47.09414500675972
2017,Q3,71.39584148094735
2017,Q4,46.51244177605805
2018,Q1,49.74068042982333
2018,Q2,55.4967963194708
2018,Q3,58.07415778350026
2018,Q4,83.34728632844254
2019,Q1,87.84801107043339
2019,Q2,90.15744326322952
2019,Q3,98.68075456454571
2019,Q4,112.56049600792639
2020,Q1,78.71343018138141
2020,Q2,59.235789411743674
2020,Q3,33.20608226967184
2020,Q4,1.4339466045596776
2021,Q1,17.101795588865016
2021,Q2,10.058009785092032
2021,Q3,9.160883499172389
2021,Q4,28.128778037550603
2022,Q1,12.364994110843668
2022,Q2,37.50744144134151
2022,Q3,60.90191519433597
2022,Q4,77.86864014534709
2023,Q1,101.97790445210495
2023,Q2,115.80209071975969
2023,Q3,143.58187505264456
2023,Q4,117.98002893580701
2024,Q1,133.33614219510633
2024,Q2,142.82404947669824
2024,Q3,147.3755715171894
2024,Q4,173.0238683661393
2025,Q1,160.72717311895312
2025,Q2,143.7784416232351
2025,Q3,153.85494185491018
2025,Q4,165.65510654441243
