year,quarter,free_cash_flow
2006,Q3,81197000.0
2006,Q4,99230000.0
2007,Q1,97494000.0
2007,Q2,82210000.0
2007,Q3,106897000.0
2007,Q4,140066000.0
2008,Q1,147380000.0
2008,Q2,219172000.0
2008,Q3,259048000.0
2008,Q4,272221000.0
2009,Q1,319444000.0
2009,Q2,331081000.0
2009,Q3,428414000.0
2009,Q4,494559000.0
2010,Q1,523352000.0
2010,Q2,616235000.0
2010,Q3,723970000.0
2010,Q4,754704000.0
2011,Q1,922778000.0
2011,Q2,954346000.0
2011,Q3,1201996000.0
2011,Q4,1294979000.0
2012,Q1,1195722000.0
2012,Q2,1399117000.0
2012,Q3,1514759000.0
2012,Q4,1730592000.0
2013,Q1,1729975000.0
2013,Q2,1885047000.0
2013,Q3,2170616000.0
2013,Q4,2216991000.0
2014,Q1,2196198000.0
2014,Q2,2281972000.0
2014,Q3,2595378000.0
2014,Q4,2782893000.0
2015,Q1,2813340000.0
2015,Q2,2804902000.0
2015,Q3,2809023000.0
2015,Q4,2928316000.0
2016,Q1,3041667000.0
2016,Q2,3297943000.0
2016,Q3,3435412000.0
2016,Q4,3656314000.0
2017,Q1,3675302000.0
2017,Q2,3914244000.0
2017,Q3,4319429000.0
2017,Q4,4374231000.0
2018,Q1,4572560000.0
2018,Q2,4974850000.0
2018,Q3,5007675000.0
2018,Q4,4896000000.0
2019,Q1,4426612000.0
2019,Q2,4578816000.0
2019,Q3,4504823000.0
2019,Q4,4497000000.0
2020,Q1,3998000000.0
2020,Q2,2351000000.0
2020,Q3,1430000000.0
2020,Q4,-201000000.0
2021,Q1,-13000000.0
2021,Q2,1028000000.0
2021,Q3,1697000000.0
2021,Q4,2516000000.0
2022,Q1,4374000000.0
2022,Q2,5879000000.0
2022,Q3,4266000000.0
2022,Q4,6186000000.0
2023,Q1,7401000000.0
2023,Q2,6448000000.0
2023,Q3,7845000000.0
2023,Q4,6999000000.0
2024,Q1,6772000000.0
2024,Q2,7506000000.0
2024,Q3,8501000000.0
2024,Q4,7894000000.0
2025,Q1,8482000000.0
2025,Q2,9240000000.0
2025,Q3,8315000000.0
2025,Q4,9087000000.0
