year,quarter,shares_outstanding
2006,Q3,12005785197.25
2006,Q4,12342825062.5
2007,Q1,12450295019.5
2007,Q2,12504604997.75
2007,Q3,12564624973.75
2007,Q4,12631244947.0
2008,Q1,12656464936.75
2008,Q2,12682004926.5
2008,Q3,12694004921.75
2008,Q4,12707044916.5
2009,Q1,12705334917.25
2009,Q2,12710464915.25
2009,Q3,12730164907.5
2009,Q4,12776654889.0
2010,Q1,12830524867.5
2010,Q2,12870024851.75
2010,Q3,12896334841.0
2010,Q4,12930064827.5
2011,Q1,12967814812.25
2011,Q2,13003314798.0
2011,Q3,13053934777.75
2011,Q4,13088594763.75
2012,Q1,13126124748.75
2012,Q2,13173694729.75
2012,Q3,13232444706.25
2012,Q4,13292194682.5
2013,Q1,13357464656.5
2013,Q2,13432904626.25
2013,Q3,13492114602.75
2013,Q4,13552374578.5
2014,Q1,13611804554.75
2014,Q2,13660249535.5
2014,Q3,13708974516.0
2014,Q4,13741399503.25
2015,Q1,13762829494.75
2015,Q2,13788418135.75
2015,Q3,13818938123.5
2015,Q4,13861608106.25
2016,Q1,13910673086.5
2016,Q2,13937504424.5
2016,Q3,13958109416.25
2016,Q4,13974089410.0
2017,Q1,13987714404.5
2017,Q2,14020994391.0
2017,Q3,14047374380.5
2017,Q4,14019289391.75
2018,Q1,14034779385.5
2018,Q2,14033499386.25
2018,Q3,14034214386.0
2018,Q4,14065689373.25
2019,Q1,14044414381.75
2019,Q2,14027949388.25
2019,Q3,13999649399.5
2019,Q4,13971124411.0
2020,Q1,13928064428.25
2020,Q2,13863414454.0
2020,Q3,13801674478.75
2020,Q4,13740549332.5
2021,Q1,13689569182.5
2021,Q2,13652509056.75
2021,Q3,13605848906.25
2021,Q4,13553468929.75
2022,Q1,13480868962.5
2022,Q2,13392558973.0
2022,Q3,13284215495.25
2022,Q4,13158502008.5
2023,Q1,13026498510.5
2023,Q2,12869000000.0
2023,Q3,12768750000.0
2023,Q4,12682500000.0
2024,Q1,12608500000.0
2024,Q2,12580000000.0
2024,Q3,12510750000.0
2024,Q4,12447250000.0
2025,Q1,12388250000.0
2025,Q2,12314000000.0
2025,Q3,12260000000.0
2025,Q4,12230000000.0
