year,quarter,eps_diluted
2006,Q3,0.1995990352522562
2006,Q4,0.24910920892261634
2007,Q1,0.2799902843029097
2007,Q2,0.2951591139736787
2007,Q3,0.3206234223772182
2007,Q4,0.33276324059219864
2008,Q1,0.3561489235312457
2008,Q2,0.3808941041464544
2008,Q3,0.3978788064160118
2008,Q4,0.3326074690586608
2009,Q1,0.3417980853833254
2009,Q2,0.3602886907767404
2009,Q3,0.38695559029168014
2009,Q4,0.5100345105014047
2010,Q1,0.549388387966864
2010,Q2,0.5754814135974371
2010,Q3,0.6153814256980478
2010,Q4,0.657483656935473
2011,Q1,0.6437056323869019
2011,Q2,0.6931438167506124
2011,Q3,0.733454663420669
2011,Q4,0.7436312421685967
2012,Q1,0.8247588423792034
2012,Q2,0.8431578949570518
2012,Q3,0.798007923425432
2012,Q4,0.8079259739762372
2013,Q1,0.8375448368985315
2013,Q2,0.8655853697435969
2013,Q3,0.9212507471417117
2013,Q4,0.9533679917577209
2014,Q1,0.9567927853458182
2014,Q2,0.9623860141389189
2014,Q3,0.942504232128186
2014,Q4,1.0404647806962908
2015,Q1,1.0434675277550391
2015,Q2,1.083599821222797
2015,Q3,1.171146569558157
2015,Q4,1.178824627279004
2016,Q1,1.2247251242186963
2016,Q2,1.2904134065850998
2016,Q3,1.3661811043354009
2016,Q4,1.3938457422371797
2017,Q1,1.4794971258833143
2017,Q2,1.3800246512643835
2017,Q3,1.4960352274955744
2017,Q4,0.897836590951635
2018,Q1,1.178000169697346
2018,Q2,1.1546998377031654
2018,Q3,1.3293536386808689
2018,Q4,2.185067101412818
2019,Q1,1.993359796105871
2019,Q2,2.476746097432608
2019,Q3,2.3299337685175665
2019,Q4,2.4590943611160503
2020,Q1,2.4779308440135814
2020,Q2,2.2738438145414346
2020,Q3,2.5876147977146036
2020,Q4,2.9348964752986966
2021,Q1,3.7555360320427584
2021,Q2,4.611986699196975
2021,Q3,5.191573959178397
2021,Q4,5.6115462209307925
2022,Q1,5.528233878223334
2022,Q2,5.374025370754628
2022,Q3,5.036582790804624
2022,Q4,4.554135041373954
2023,Q1,4.496817790194799
2023,Q2,4.7448529338453636
2023,Q3,5.233581052075587
2023,Q4,5.822855777238778
2024,Q1,6.53798550395413
2024,Q2,6.971524363228507
2024,Q3,7.538524326392456
2024,Q4,8.045971481159928
2025,Q1,8.967277777191285
2025,Q2,9.388528146497887
2025,Q3,10.137151069304988
2025,Q4,10.805852528111792
