year,quarter,free_cash_flow
2006,Q3,1546157000.0
2006,Q4,1677710000.0
2007,Q1,1820544000.0
2007,Q2,2522292000.0
2007,Q3,2901687000.0
2007,Q4,3372570000.0
2008,Q1,3687719000.0
2008,Q2,4101528000.0
2008,Q3,4754980000.0
2008,Q4,5494396000.0
2009,Q1,6543304000.0
2009,Q2,6944402000.0
2009,Q3,7750591000.0
2009,Q4,8506310000.0
2010,Q1,8864553000.0
2010,Q2,9003818000.0
2010,Q3,8593174000.0
2010,Q4,7064000000.0
2011,Q1,7001000000.0
2011,Q2,7994000000.0
2011,Q3,9135000000.0
2011,Q4,11127000000.0
2012,Q1,11932000000.0
2012,Q2,12808000000.0
2012,Q3,12670000000.0
2012,Q4,13346000000.0
2013,Q1,12689000000.0
2013,Q2,12305000000.0
2013,Q3,11967000000.0
2013,Q4,11301000000.0
2014,Q1,10917000000.0
2014,Q2,10804000000.0
2014,Q3,11587000000.0
2014,Q4,11417000000.0
2015,Q1,13061000000.0
2015,Q2,14550000000.0
2015,Q3,14607000000.0
2015,Q4,16109000000.0
2016,Q1,17649000000.0
2016,Q2,20176000000.0
2016,Q3,23833000000.0
2016,Q4,25853000000.0
2017,Q1,27663000000.0
2017,Q2,25238000000.0
2017,Q3,24281000000.0
2017,Q4,23907000000.0
2018,Q1,21210000000.0
2018,Q2,21293000000.0
2018,Q3,22887000000.0
2018,Q4,22832000000.0
2019,Q1,25851000000.0
2019,Q2,27697000000.0
2019,Q3,28503000000.0
2019,Q4,30972000000.0
2020,Q1,29056000000.0
2020,Q2,31157000000.0
2020,Q3,34020000000.0
2020,Q4,42843000000.0
2021,Q1,50744000000.0
2021,Q2,58536000000.0
2021,Q3,65659000000.0
2021,Q4,67012000000.0
2022,Q1,68985000000.0
2022,Q2,65185000000.0
2022,Q3,62542000000.0
2022,Q4,60010000000.0
2023,Q1,61910000000.0
2023,Q2,71094000000.0
2023,Q3,77618000000.0
2023,Q4,69495000000.0
2024,Q1,69111000000.0
2024,Q2,60787000000.0
2024,Q3,55823000000.0
2024,Q4,72764000000.0
2025,Q1,74881000000.0
2025,Q2,66728000000.0
2025,Q3,73552000000.0
2025,Q4,73266000000.0
