year,quarter,operating_margin
2006,Q3,0.3282728764173815
2006,Q4,0.33474744643987675
2007,Q1,0.335284195899227
2007,Q2,0.32147162151879527
2007,Q3,0.31418500279638584
2007,Q4,0.30639831564088554
2008,Q1,0.2985979421824339
2008,Q2,0.29996890565973083
2008,Q3,0.2969463253836308
2008,Q4,0.30428091972902727
2009,Q1,0.3151081332184976
2009,Q2,0.3261944793001816
2009,Q3,0.3391931369457998
2009,Q4,0.3514875123161468
2010,Q1,0.3578694075574441
2010,Q2,0.35889342215605535
2010,Q3,0.3585930730267104
2010,Q4,0.3540806930186556
2011,Q1,0.3274316378008419
2011,Q2,0.3212410357968014
2011,Q3,0.31366572523139735
2011,Q4,0.30978260869565216
2012,Q1,0.3210837044078651
2012,Q2,0.3085253186761782
2012,Q3,0.2778005567664386
2012,Q4,0.26133834310101894
2013,Q1,0.256586773797219
2013,Q2,0.25457899842136295
2013,Q3,0.27167292134195786
2013,Q4,0.2628551261690489
2014,Q1,0.2580868800622263
2014,Q2,0.25902205301111525
2014,Q3,0.2473747606399407
2014,Q4,0.24993560703625703
2015,Q1,0.2480579017969015
2015,Q2,0.24988866702101678
2015,Q3,0.25610690745927567
2015,Q4,0.25817119844243824
2016,Q1,0.25971944401702823
2016,Q2,0.2617140201318477
2016,Q3,0.2625413563720963
2016,Q4,0.26271712158808935
2017,Q1,0.263198438241967
2017,Q2,0.23274741878619995
2017,Q3,0.24017170828712378
2017,Q4,0.2358576518876009
2018,Q1,0.23207477974601495
2018,Q2,0.21085086119227106
2018,Q3,0.20765250334960653
2018,Q4,0.2010393293329143
2019,Q1,0.18647015745148296
2019,Q2,0.21993405215139683
2019,Q3,0.2139070541345819
2019,Q4,0.2114891540063142
2020,Q1,0.2135867576210275
2020,Q2,0.19757272782027344
2020,Q3,0.20290150491543588
2020,Q4,0.22585151785763202
2021,Q1,0.25261081339420993
2021,Q2,0.2844845980977459
2021,Q3,0.302997366330839
2021,Q4,0.3055228868524319
2022,Q1,0.30470085153920706
2022,Q2,0.2964812557749902
2022,Q3,0.27849478754966983
2022,Q4,0.2646127084246701
2023,Q1,0.2535486908492966
2023,Q2,0.2574784738076406
2023,Q3,0.2650539154315254
2023,Q4,0.27421810445226646
2024,Q1,0.2902755338743847
2024,Q2,0.29833010442178115
2024,Q3,0.30929002910030334
2024,Q4,0.32109777211457696
2025,Q1,0.32671602082771545
2025,Q2,0.32679140223856284
2025,Q3,0.3218791263810811
2025,Q4,0.3204410976311975
