year,quarter,revenue
2006,Q3,9318592000.0
2006,Q4,10604998000.0
2007,Q1,12015198000.0
2007,Q2,13431198000.0
2007,Q3,14972898000.0
2007,Q4,16594086000.0
2008,Q1,18116086000.0
2008,Q2,19611286000.0
2008,Q3,20921286000.0
2008,Q4,21795550000.0
2009,Q1,22118550000.0
2009,Q2,22274350000.0
2009,Q3,22677950000.0
2009,Q4,23650863000.0
2010,Q1,24916863000.0
2010,Q2,26213863000.0
2010,Q3,27554863000.0
2010,Q4,29321000000.0
2011,Q1,31121000000.0
2011,Q2,33327000000.0
2011,Q3,35761000000.0
2011,Q4,37904000000.0
2012,Q1,39974000000.0
2012,Q2,42755000000.0
2012,Q3,46339000000.0
2012,Q4,48971000000.0
2013,Q1,51277000000.0
2013,Q2,52577000000.0
2013,Q3,53027000000.0
2013,Q4,56670000000.0
2014,Q1,59139000000.0
2014,Q2,61987000000.0
2014,Q3,64756000000.0
2014,Q4,66001000000.0
2015,Q1,67839000000.0
2015,Q2,69611000000.0
2015,Q3,71763000000.0
2015,Q4,74989000000.0
2016,Q1,77988000000.0
2016,Q2,81761000000.0
2016,Q3,85537000000.0
2016,Q4,90272000000.0
2017,Q1,94765000000.0
2017,Q2,99275000000.0
2017,Q3,104596000000.0
2017,Q4,110855000000.0
2018,Q1,117251000000.0
2018,Q2,123898000000.0
2018,Q3,129866000000.0
2018,Q4,136819000000.0
2019,Q1,142012000000.0
2019,Q2,148299000000.0
2019,Q3,155058000000.0
2019,Q4,161857000000.0
2020,Q1,166677000000.0
2020,Q2,166030000000.0
2020,Q3,171704000000.0
2020,Q4,182527000000.0
2021,Q1,196682000000.0
2021,Q2,220265000000.0
2021,Q3,239210000000.0
2021,Q4,257637000000.0
2022,Q1,270334000000.0
2022,Q2,278139000000.0
2022,Q3,282113000000.0
2022,Q4,282836000000.0
2023,Q1,284612000000.0
2023,Q2,289531000000.0
2023,Q3,297132000000.0
2023,Q4,307394000000.0
2024,Q1,318146000000.0
2024,Q2,328284000000.0
2024,Q3,339859000000.0
2024,Q4,350018000000.0
2025,Q1,359713000000.0
2025,Q2,371399000000.0
2025,Q3,385477000000.0
2025,Q4,402904000000.0
