year,quarter,shares_outstanding
2011,Q4,2556000020.0
2012,Q1,2451521274.25
2012,Q2,2282271273.0
2012,Q3,2248271272.75
2012,Q4,2274452877.75
2013,Q1,2364681618.5
2013,Q2,2520431614.75
2013,Q3,2547431610.0
2013,Q4,2521750000.0
2014,Q1,2549250000.0
2014,Q2,2577500000.0
2014,Q3,2606500000.0
2014,Q4,2671000000.0
2015,Q1,2727750000.0
2015,Q2,2786500000.0
2015,Q3,2841250000.0
2015,Q4,2856750000.0
2016,Q1,2874000000.0
2016,Q2,2891750000.0
2016,Q3,2908750000.0
2016,Q4,2923750000.0
2017,Q1,2933500000.0
2017,Q2,2941000000.0
2017,Q3,2947250000.0
2017,Q4,2951250000.0
2018,Q1,2951500000.0
2018,Q2,2947370750.0
2018,Q3,2938058250.0
2018,Q4,2921058250.0
2019,Q1,2902058250.0
2019,Q2,2887187500.0
2019,Q3,2876000000.0
2019,Q4,2872250000.0
2020,Q1,2872000000.0
2020,Q2,2873000000.0
2020,Q3,2877250000.0
2020,Q4,2882731000.0
2021,Q1,2886231000.0
2021,Q2,2886287000.0
2021,Q3,2878287000.0
2021,Q4,2854806000.0
2022,Q1,2819806000.0
2022,Q2,2778250000.0
2022,Q3,2735250000.0
2022,Q4,2695500000.0
2023,Q1,2659000000.0
2023,Q2,2633750000.0
2023,Q3,2622250000.0
2023,Q4,2619750000.0
2024,Q1,2627000000.0
2024,Q2,2626500000.0
2024,Q3,2616250000.0
2024,Q4,2612250000.0
2025,Q1,2603500000.0
2025,Q2,2593500000.0
2025,Q3,2586500000.0
2025,Q4,2576500000.0
