year,quarter,free_cash_flow
2011,Q3,1023000000.0
2011,Q4,943000000.0
2012,Q1,739000000.0
2012,Q2,569000000.0
2012,Q3,219000000.0
2012,Q4,377000000.0
2013,Q1,781000000.0
2013,Q2,2008000000.0
2013,Q3,2595000000.0
2013,Q4,2860000000.0
2014,Q1,3390000000.0
2014,Q2,3208000000.0
2014,Q3,3308000000.0
2014,Q4,3626000000.0
2015,Q1,3902000000.0
2015,Q2,4361000000.0
2015,Q3,5007000000.0
2015,Q4,6076000000.0
2016,Q1,7223000000.0
2016,Q2,8562000000.0
2016,Q3,10091000000.0
2016,Q4,11617000000.0
2017,Q1,13059000000.0
2017,Q2,14305000000.0
2017,Q3,15737000000.0
2017,Q4,17484000000.0
2018,Q1,18745000000.0
2018,Q2,17669000000.0
2018,Q3,17449000000.0
2018,Q4,15359000000.0
2019,Q1,15782000000.0
2019,Q2,17924000000.0
2019,Q3,19546000000.0
2019,Q4,21211000000.0
2020,Q1,23183000000.0
2020,Q2,18824000000.0
2020,Q3,19188000000.0
2020,Q4,23632000000.0
2021,Q1,24159000000.0
2021,Q2,32170000000.0
2021,Q3,35809000000.0
2021,Q4,39116000000.0
2022,Q1,39781000000.0
2022,Q2,35772000000.0
2022,Q3,26310000000.0
2022,Q4,19044000000.0
2023,Q1,17565000000.0
2023,Q2,24033000000.0
2023,Q3,37576000000.0
2023,Q4,43847000000.0
2024,Q1,49537000000.0
2024,Q2,49641000000.0
2024,Q3,52248000000.0
2024,Q4,54072000000.0
2025,Q1,52311000000.0
2025,Q2,50137000000.0
2025,Q3,44841000000.0
2025,Q4,46109000000.0
