year,quarter,operating_margin
2010,Q4,0.5227963525835866
2011,Q1,0.5330508474576271
2011,Q2,0.512221041445271
2011,Q3,0.49667673716012084
2011,Q4,0.4731878199946106
2012,Q1,0.43313521545319467
2012,Q2,0.13843309452276403
2012,Q3,0.12125134843581445
2012,Q4,0.10571821575948123
2013,Q1,0.09655674986336309
2013,Q2,0.29993461915658715
2013,Q3,0.3192665890570431
2013,Q4,0.3561991869918699
2014,Q1,0.39322566173171825
2014,Q2,0.43283731149505644
2014,Q3,0.4459821428571429
2014,Q4,0.400689876463982
2015,Q1,0.35929518027689344
2015,Q2,0.32351936607691784
2015,Q3,0.30106042542511136
2015,Q4,0.3472415908964132
2016,Q1,0.36937164828493374
2016,Q2,0.3959386281588448
2016,Q3,0.4230644507498987
2016,Q4,0.4502134742021854
2017,Q1,0.454338351822504
2017,Q2,0.46471528049920113
2017,Q3,0.4772814469717731
2017,Q4,0.49693749538779425
2018,Q1,0.5006840558907305
2018,Q2,0.4904633276285131
2018,Q3,0.4710382303067674
2018,Q4,0.4461656936136681
2019,Q1,0.3864526963985818
2019,Q2,0.34413136540796113
2019,Q3,0.3449322851688737
2019,Q4,0.3392788944368219
2020,Q1,0.36209223386997835
2020,Q2,0.3712046621783443
2020,Q3,0.36408529173419774
2020,Q4,0.38004559942302774
2021,Q1,0.4041949152542373
2021,Q2,0.42523141521137514
2021,Q3,0.4179026083860055
2021,Q4,0.39645040660058173
2022,Q1,0.3668460548526733
2022,Q2,0.3340563264690858
2022,Q3,0.29743047030436437
2022,Q4,0.24822269293107735
2023,Q1,0.23561092836568778
2023,Q2,0.23797947279772325
2023,Q3,0.28959867669646727
2023,Q4,0.34655784612419477
2024,Q1,0.3737763732298141
2024,Q2,0.3925478859416623
2024,Q3,0.39941495013634093
2024,Q4,0.4217568389057751
2025,Q1,0.4291877740536162
2025,Q2,0.44020268002952956
2025,Q3,0.432261674152974
2025,Q4,0.41437855159579234
