year,quarter,eps_diluted
2006,Q3,0.01694733322522369
2006,Q4,0.010151040839427767
2007,Q1,0.01119825455950912
2007,Q2,0.0129083986218602
2007,Q3,0.013613497229449772
2007,Q4,0.014113231860937669
2008,Q1,0.015066787368124574
2008,Q2,0.015784335919362916
2008,Q3,0.01715693912575809
2008,Q4,0.019095893877801
2009,Q1,0.02141075926036231
2009,Q2,0.023233206514684274
2009,Q3,0.025991765831941373
2009,Q4,0.028809082656030903
2010,Q1,0.03196351207276731
2010,Q2,0.035639263684909966
2010,Q3,0.038264458227198095
2010,Q4,0.04267015347128253
2011,Q1,0.050115777635671876
2011,Q2,0.056747974441685084
2011,Q3,0.06325462895928678
2011,Q4,0.06099853650338867
2012,Q1,0.043955283479757294
2012,Q2,0.027376130765726002
2012,Q3,0.012679374429695522
2012,Q4,0.004091345992306557
2013,Q1,0.00591088891295767
2013,Q2,0.011362124728305917
2013,Q3,0.01694887693371505
2013,Q4,0.026324521707236932
2014,Q1,0.03801419470479231
2014,Q2,0.047526383706796405
2014,Q3,0.053774925819356244
2014,Q4,0.06176716479292835
2015,Q1,0.054901094402916586
2015,Q2,0.044479122449037345
2015,Q3,0.037502584153558255
2015,Q4,0.02807897546015364
2016,Q1,0.02893140168056521
2016,Q2,0.032194131666882383
2016,Q3,0.0372198822875458
2016,Q4,0.04253550052568815
2017,Q1,0.07622949787000821
2017,Q2,0.08162785856937678
2017,Q3,0.09884401544106808
2017,Q4,0.12507311049492742
2018,Q1,0.14948500702996023
2018,Q2,0.2199024508886892
2018,Q3,0.28007362024018573
2018,Q4,0.26836617814129277
2019,Q1,0.2800764082070394
2019,Q2,0.2548115767906348
2019,Q3,0.31299671144955415
2019,Q4,0.4133499670934523
2020,Q1,0.4939210976750429
2020,Q2,0.5927213006286807
2020,Q3,0.6189849303065802
2020,Q4,0.6080232924736898
2021,Q1,0.8258958256935874
2021,Q2,0.9645243358587123
2021,Q3,1.109466457673795
2021,Q4,1.1236533848610337
2022,Q1,1.1017286467862488
2022,Q2,1.1245385577385696
2022,Q3,1.1164920073600053
2022,Q4,0.9954644599428929
2023,Q1,0.9312919209253869
2023,Q2,0.940629993606527
2023,Q3,1.0028982289861572
2023,Q4,1.199298945496249
2024,Q1,1.4388841872374196
2024,Q2,1.5977687429688563
2024,Q3,1.764757029952452
2024,Q4,1.982946980474452
2025,Q1,2.116349585475941
2025,Q2,2.3450101679986073
2025,Q3,2.3903864725858908
2025,Q4,2.523768514011671
