year,quarter,free_cash_flow
2006,Q3,82436000.0
2006,Q4,50416000.0
2007,Q1,17429000.0
2007,Q2,13565000.0
2007,Q3,57758000.0
2007,Q4,114139000.0
2008,Q1,202980000.0
2008,Q2,146471000.0
2008,Q3,105681000.0
2008,Q4,76336000.0
2009,Q1,69881000.0
2009,Q2,195943000.0
2009,Q3,195608000.0
2009,Q4,232658000.0
2010,Q1,205784000.0
2010,Q2,193789000.0
2010,Q3,206255000.0
2010,Q4,204652000.0
2011,Q1,272668000.0
2011,Q2,294060000.0
2011,Q3,295001000.0
2011,Q4,182876000.0
2012,Q1,97216000.0
2012,Q2,35498000.0
2012,Q3,-13686000.0
2012,Q4,-36841000.0
2013,Q1,-96745000.0
2013,Q2,-100961000.0
2013,Q3,-78834000.0
2013,Q4,-22239000.0
2014,Q1,31433000.0
2014,Q2,34775000.0
2014,Q3,-47620000.0
2014,Q4,-128033000.0
2015,Q1,-299468000.0
2015,Q2,-543309000.0
2015,Q3,-717564000.0
2015,Q4,-918645000.0
2016,Q1,-1015543000.0
2016,Q2,-1041907000.0
2016,Q3,-1300207000.0
2016,Q4,-1658814000.0
2017,Q1,-1820343000.0
2017,Q2,-2172695000.0
2017,Q3,-2129926000.0
2017,Q4,-2012970000.0
2018,Q1,-1875942000.0
2018,Q2,-1826673000.0
2018,Q3,-2100361000.0
2018,Q4,-2893011000.0
2019,Q1,-3057638000.0
2019,Q2,-3090660000.0
2019,Q3,-2904946000.0
2019,Q4,-3161959000.0
2020,Q1,-2550712000.0
2020,Q2,-1060241000.0
2020,Q3,645470000.0
2020,Q4,1929154000.0
2021,Q1,2463522000.0
2021,Q2,1390148000.0
2021,Q3,151250000.0
2021,Q4,-131975000.0
2022,Q1,-26559000.0
2022,Q2,160212000.0
2022,Q3,717010000.0
2022,Q4,1618528000.0
2023,Q1,2933568000.0
2023,Q2,4260096000.0
2023,Q3,5676632000.0
2023,Q4,6925749000.0
2024,Q1,6945836000.0
2024,Q2,6819136000.0
2024,Q3,7124988000.0
2024,Q4,6921826000.0
2025,Q1,7445940000.0
2025,Q2,8500749000.0
2025,Q3,8966966000.0
2025,Q4,9461053000.0
