year,quarter,shares_outstanding
2017,Q4,1682521965.0
2018,Q1,1686944723.75
2018,Q2,1691367482.5
2018,Q3,1695790241.25
2018,Q4,1694399505.25
2019,Q1,1688586010.5
2019,Q2,1541208760.5
2019,Q3,1541208760.5
2019,Q4,1549534005.25
2020,Q1,1561386000.0
2020,Q2,1718434250.0
2020,Q3,1732138250.0
2020,Q4,1752844250.0
2021,Q1,1786383750.0
2021,Q2,1840653250.0
2021,Q3,1876634500.0
2021,Q4,1929761250.0
2022,Q1,1954562750.0
2022,Q2,1957789500.0
2022,Q3,1977875750.0
2022,Q4,1991621749.75
2023,Q1,2004578249.75
2023,Q2,2032173999.75
2023,Q3,2064468999.75
2023,Q4,2079807500.0
2024,Q1,2097460250.0
2024,Q2,2115148750.0
2024,Q3,2126645500.0
2024,Q4,2131519750.0
2025,Q1,2142132250.0
2025,Q2,2135672750.0
2025,Q3,2128154000.0
2025,Q4,2119300250.0
