year,quarter,free_cash_flow
2018,Q4,-2099000000.0
2019,Q1,-2563000000.0
2019,Q2,-3361000000.0
2019,Q3,-3805000000.0
2019,Q4,-4909000000.0
2020,Q1,-4719000000.0
2020,Q2,-4884000000.0
2020,Q3,-4414000000.0
2020,Q4,-3361000000.0
2021,Q1,-3382000000.0
2021,Q2,-2545000000.0
2021,Q3,-1484000000.0
2021,Q4,-743000000.0
2022,Q1,-108000000.0
2022,Q2,672000000.0
2022,Q3,506000000.0
2022,Q4,390000000.0
2023,Q1,986000000.0
2023,Q2,1744000000.0
2023,Q3,2291000000.0
2023,Q4,3362000000.0
2024,Q1,4172000000.0
2024,Q2,4753000000.0
2024,Q3,5957000000.0
2024,Q4,6895000000.0
2025,Q1,7786000000.0
2025,Q2,8540000000.0
2025,Q3,8661000000.0
2025,Q4,9763000000.0
