year,quarter,shares_outstanding
2006,Q3,1388250000.0
2006,Q4,1401750000.0
2007,Q1,1396750000.0
2007,Q2,1392250000.0
2007,Q3,1380000000.0
2007,Q4,1360750000.0
2008,Q1,1330500000.0
2008,Q2,1297500000.0
2008,Q3,1267250000.0
2008,Q4,1241000000.0
2009,Q1,1224000000.0
2009,Q2,1212250000.0
2009,Q3,1201500000.0
2009,Q4,1189000000.0
2010,Q1,1175500000.0
2010,Q2,1162250000.0
2010,Q3,1147250000.0
2010,Q4,1133000000.0
2011,Q1,1118750000.0
2011,Q2,1106000000.0
2011,Q3,1095750000.0
2011,Q4,1087750000.0
2012,Q1,1078000000.0
2012,Q2,1066750000.0
2012,Q3,1055750000.0
2012,Q4,1046250000.0
2013,Q1,1038500000.0
2013,Q2,1032750000.0
2013,Q3,1029000000.0
2013,Q4,1023250000.0
2014,Q1,1015000000.0
2014,Q2,1006250000.0
2014,Q3,995750000.0
2014,Q4,985500000.0
2015,Q1,978750000.0
2015,Q2,972500000.0
2015,Q3,968750000.0
2015,Q4,967250000.0
2016,Q1,966750000.0
2016,Q2,967000000.0
2016,Q3,967500000.0
2016,Q4,968250000.0
2017,Q1,970250000.0
2017,Q2,974750000.0
2017,Q3,979750000.0
2017,Q4,985000000.0
2018,Q1,988000000.0
2018,Q2,987250000.0
2018,Q3,985750000.0
2018,Q4,983500000.0
2019,Q1,980500000.0
2019,Q2,976000000.0
2019,Q3,971000000.0
2019,Q4,966000000.0
2020,Q1,962750000.0
2020,Q2,961750000.0
2020,Q3,961500000.0
2020,Q4,961250000.0
2021,Q1,960000000.0
2021,Q2,959000000.0
2021,Q3,957250000.0
2021,Q4,955750000.0
2022,Q1,955000000.0
2022,Q2,953500000.0
2022,Q3,951750000.0
2022,Q4,949750000.0
2023,Q1,947000000.0
2023,Q2,944500000.0
2023,Q3,941500000.0
2023,Q4,938500000.0
2024,Q1,933250000.0
2024,Q2,930250000.0
2024,Q3,928750000.0
2024,Q4,926750000.0
2025,Q1,925750000.0
2025,Q2,921250000.0
2025,Q3,916750000.0
2025,Q4,912500000.0
